onset	duration	sample	trial_type	response_time	stim_file	value	HED	second_after_ready
25.2239963344	n/a	n/a	wait	n/a	n/a	DI43	n/a	-39
25.9880034558	n/a	n/a	wait	n/a	n/a	DI39	n/a	-38
26.9239971719	n/a	n/a	wait	n/a	n/a	DI36	n/a	-37
27.9719999365	n/a	n/a	wait	n/a	n/a	DI47	n/a	-36
29.1399980268	n/a	n/a	wait	n/a	n/a	DI36	n/a	-35
30.1800044558	n/a	n/a	wait	n/a	n/a	DI43	n/a	-34
31.1119949750	n/a	n/a	wait	n/a	n/a	DI36	n/a	-33
32.2759999267	n/a	n/a	wait	n/a	n/a	DI33	n/a	-32
33.2039973072	n/a	n/a	wait	n/a	n/a	DI46	n/a	-31
34.3639990619	n/a	n/a	wait	n/a	n/a	DI38	n/a	-30
35.3000028363	n/a	n/a	wait	n/a	n/a	DI38	n/a	-29
36.4600045911	n/a	n/a	wait	n/a	n/a	DI39	n/a	-28
37.4199973724	n/a	n/a	wait	n/a	n/a	DI53	n/a	-27
38.4639969400	n/a	n/a	wait	n/a	n/a	DI44	n/a	-26
39.5239992372	n/a	n/a	wait	n/a	n/a	DI38	n/a	-25
40.6840009919	n/a	n/a	wait	n/a	n/a	DI33	n/a	-24
41.7479964278	n/a	n/a	wait	n/a	n/a	DI37	n/a	-23
42.6919965378	n/a	n/a	wait	n/a	n/a	DI37	n/a	-22
43.7399993024	n/a	n/a	wait	n/a	n/a	DI35	n/a	-21
44.8959978602	n/a	n/a	wait	n/a	n/a	DI43	n/a	-20
45.9720028869	n/a	n/a	wait	n/a	n/a	DI39	n/a	-19
46.9079966030	n/a	n/a	wait	n/a	n/a	DI48	n/a	-18
47.9559993676	n/a	n/a	wait	n/a	n/a	DI43	n/a	-17
49.1239974580	n/a	n/a	wait	n/a	n/a	DI37	n/a	-16
50.1839997551	n/a	n/a	wait	n/a	n/a	DI32	n/a	-15
51.1320030621	n/a	n/a	wait	n/a	n/a	DI34	n/a	-14
52.1799957684	n/a	n/a	wait	n/a	n/a	DI39	n/a	-13
53.3320011876	n/a	n/a	wait	n/a	n/a	DI40	n/a	-12
54.2760012976	n/a	n/a	wait	n/a	n/a	DI43	n/a	-11
55.4519957236	n/a	n/a	wait	n/a	n/a	DI33	n/a	-10
56.3879994980	n/a	n/a	wait	n/a	n/a	DI50	n/a	-9
57.4480017952	n/a	n/a	wait	n/a	n/a	DI37	n/a	-8
58.4960045598	n/a	n/a	wait	n/a	n/a	DI46	n/a	-7
59.5599999956	n/a	n/a	wait	n/a	n/a	DI27	n/a	-6
60.7240049473	n/a	n/a	wait	n/a	n/a	DI31	n/a	-5
61.6839977286	n/a	n/a	wait	n/a	n/a	DI38	n/a	-4
62.7360036901	n/a	n/a	wait	n/a	n/a	DI38	n/a	-3
63.9119981161	n/a	n/a	wait	n/a	n/a	DI42	n/a	-2
64.8439986936	n/a	n/a	wait	n/a	n/a	DI28	n/a	-1
66.0040004483	n/a	n/a	wait	n/a	n/a	DI51	n/a	0
66.9480005584	n/a	n/a	wait	n/a	n/a	DI41	n/a	1
68.1039991162	n/a	n/a	wait	n/a	n/a	DI37	n/a	2
69.0400028906	n/a	n/a	wait	n/a	n/a	DI43	n/a	3
70.2000046453	n/a	n/a	wait	n/a	n/a	DI43	n/a	4
71.1479978940	n/a	n/a	wait	n/a	n/a	DI47	n/a	5
72.2960001162	n/a	n/a	wait	n/a	n/a	DI34	n/a	6
73.2359970293	n/a	n/a	wait	n/a	n/a	DI38	n/a	7
74.3880024484	n/a	n/a	wait	n/a	n/a	DI27	n/a	8
75.3519984267	n/a	n/a	wait	n/a	n/a	DI34	n/a	9
76.4240002564	n/a	n/a	wait	n/a	n/a	DI49	n/a	10
77.5039984218	n/a	n/a	wait	n/a	n/a	DI43	n/a	11
78.5640007190	n/a	n/a	wait	n/a	n/a	DI42	n/a	12
79.7120029411	n/a	n/a	wait	n/a	n/a	DI40	n/a	13
80.6560030512	n/a	n/a	wait	n/a	n/a	DI43	n/a	14
81.8160048059	n/a	n/a	wait	n/a	n/a	DI42	n/a	15
82.7519985220	n/a	n/a	wait	n/a	n/a	DI56	n/a	16
83.9120002768	n/a	n/a	wait	n/a	n/a	DI46	n/a	17
84.8560003868	n/a	n/a	wait	n/a	n/a	DI37	n/a	18
85.9079962901	n/a	n/a	relax	n/a	n/a	D102	n/a	19
86.9639953903	n/a	n/a	relax	n/a	n/a	D105	n/a	20
88.1160008094	n/a	n/a	relax	n/a	n/a	D106	n/a	21
89.0559977225	n/a	n/a	relax	n/a	n/a	D100	n/a	22
90.2119962803	n/a	n/a	relax	n/a	n/a	DI98	n/a	23
91.1640027843	n/a	n/a	relax	n/a	n/a	DI95	n/a	24
92.3159981451	n/a	n/a	relax	n/a	n/a	DI98	n/a	25
93.2559950582	n/a	n/a	relax	n/a	n/a	DI91	n/a	26
94.4200000099	n/a	n/a	relax	n/a	n/a	D102	n/a	27
95.3640001199	n/a	n/a	relax	n/a	n/a	DI99	n/a	28
96.4199992201	n/a	n/a	relax	n/a	n/a	D103	n/a	29
97.6840036294	n/a	n/a	relax	n/a	n/a	DI95	n/a	30
98.5160047493	n/a	n/a	relax	n/a	n/a	DI97	n/a	31
99.5800001851	n/a	n/a	relax	n/a	n/a	DI96	n/a	32
100.7400019399	n/a	n/a	relax	n/a	n/a	DI98	n/a	33
101.6799988530	n/a	n/a	relax	n/a	n/a	D108	n/a	34
102.4599986455	n/a	n/a	relax	n/a	n/a	D255	n/a	35
102.8639996729	n/a	n/a	relax	n/a	n/a	DI99	n/a	36
103.9880028299	n/a	n/a	getready	n/a	n/a	D164	n/a	1
104.9279997430	n/a	n/a	getready	n/a	n/a	D163	n/a	2
105.8799961886	n/a	n/a	getready	n/a	n/a	D164	n/a	3
106.9800002805	n/a	n/a	getready	n/a	n/a	D170	n/a	4
108.1319956414	n/a	n/a	getready	n/a	n/a	D168	n/a	5
109.1759952090	n/a	n/a	getready	n/a	n/a	D166	n/a	6
110.1959957114	n/a	n/a	concentrate	n/a	n/a	D230	n/a	7
111.3679969988	n/a	n/a	concentrate	n/a	n/a	D224	n/a	8
112.2239971838	n/a	n/a	concentrate	n/a	n/a	D227	n/a	9
113.3919952742	n/a	n/a	concentrate	n/a	n/a	D230	n/a	10
114.4480044327	n/a	n/a	concentrate	n/a	n/a	D225	n/a	11
