onset	duration	sample	trial_type	response_time	stim_file	value	HED	second_after_ready
19.4560030780	n/a	n/a	wait	n/a	n/a	DI22	n/a	-39
19.6200033954	n/a	n/a	wait	n/a	n/a	DI19	n/a	-38
19.8200023106	n/a	n/a	wait	n/a	n/a	DI24	n/a	-37
19.9999952993	n/a	n/a	wait	n/a	n/a	DI18	n/a	-36
20.1720020107	n/a	n/a	wait	n/a	n/a	DI20	n/a	-35
20.3760041229	n/a	n/a	wait	n/a	n/a	DI32	n/a	-34
20.5520039729	n/a	n/a	wait	n/a	n/a	DI17	n/a	-33
20.6240011684	n/a	n/a	wait	n/a	n/a	DI17	n/a	-32
20.7959978215	n/a	n/a	wait	n/a	n/a	DI19	n/a	-31
21.4320032231	n/a	n/a	wait	n/a	n/a	DI26	n/a	-30
22.5000018559	n/a	n/a	wait	n/a	n/a	DI23	n/a	-29
23.5639972917	n/a	n/a	wait	n/a	n/a	DI18	n/a	-28
24.5160037956	n/a	n/a	wait	n/a	n/a	DI29	n/a	-27
25.5720028958	n/a	n/a	wait	n/a	n/a	DI23	n/a	-26
26.7199950597	n/a	n/a	wait	n/a	n/a	DI37	n/a	-25
27.8760036758	n/a	n/a	wait	n/a	n/a	DI23	n/a	-24
28.8119973919	n/a	n/a	wait	n/a	n/a	DI18	n/a	-23
29.9760023437	n/a	n/a	wait	n/a	n/a	DI27	n/a	-22
30.9200024537	n/a	n/a	wait	n/a	n/a	DI25	n/a	-21
32.0680046759	n/a	n/a	wait	n/a	n/a	DI33	n/a	-20
33.0080015889	n/a	n/a	wait	n/a	n/a	DI21	n/a	-19
34.1719964824	n/a	n/a	wait	n/a	n/a	DI27	n/a	-18
35.2279955826	n/a	n/a	wait	n/a	n/a	DI26	n/a	-17
36.1999979547	n/a	n/a	relax	n/a	n/a	DI91	n/a	-16
37.3640029064	n/a	n/a	relax	n/a	n/a	D100	n/a	-15
38.3039998195	n/a	n/a	relax	n/a	n/a	DI80	n/a	-14
39.4680047712	n/a	n/a	relax	n/a	n/a	DI77	n/a	-13
40.4120048813	n/a	n/a	relax	n/a	n/a	DI91	n/a	-12
41.4599975876	n/a	n/a	relax	n/a	n/a	DI89	n/a	-11
42.4319999597	n/a	n/a	getready	n/a	n/a	D154	n/a	1
43.4999985925	n/a	n/a	getready	n/a	n/a	D155	n/a	2
44.5520045540	n/a	n/a	getready	n/a	n/a	D159	n/a	3
45.6359958581	n/a	n/a	getready	n/a	n/a	D152	n/a	4
46.8000008098	n/a	n/a	getready	n/a	n/a	D151	n/a	5
47.7279981903	n/a	n/a	getready	n/a	n/a	D148	n/a	6
48.9079958133	n/a	n/a	concentrate	n/a	n/a	D213	n/a	7
49.8559991202	n/a	n/a	concentrate	n/a	n/a	D214	n/a	8
51.0119976780	n/a	n/a	concentrate	n/a	n/a	D220	n/a	9
51.9480014524	n/a	n/a	concentrate	n/a	n/a	D224	n/a	10
53.0999968133	n/a	n/a	concentrate	n/a	n/a	D219	n/a	11
54.0360005877	n/a	n/a	concentrate	n/a	n/a	D217	n/a	12
55.1879959486	n/a	n/a	concentrate	n/a	n/a	D217	n/a	13
56.1239997230	n/a	n/a	concentrate	n/a	n/a	D212	n/a	14
57.2799982808	n/a	n/a	concentrate	n/a	n/a	D218	n/a	15
58.2119988582	n/a	n/a	concentrate	n/a	n/a	D224	n/a	16
59.3679974160	n/a	n/a	concentrate	n/a	n/a	D221	n/a	17
60.5279991708	n/a	n/a	concentrate	n/a	n/a	D224	n/a	18
61.4679960839	n/a	n/a	concentrate	n/a	n/a	D212	n/a	19
62.5080025128	n/a	n/a	concentrate	n/a	n/a	D217	n/a	20
63.5479988835	n/a	n/a	concentrate	n/a	n/a	D214	n/a	21
