onset	duration	sample	trial_type	response_time	stim_file	value	HED	second_after_ready
30.9359951249	n/a	n/a	wait	n/a	n/a	DI32	n/a	-39
31.0480041734	n/a	n/a	wait	n/a	n/a	DI34	n/a	-38
32.2079958699	n/a	n/a	wait	n/a	n/a	DI32	n/a	-37
33.2519954375	n/a	n/a	wait	n/a	n/a	DI25	n/a	-36
34.1920024089	n/a	n/a	wait	n/a	n/a	DI20	n/a	-35
35.3600004992	n/a	n/a	wait	n/a	n/a	DI37	n/a	-34
36.2999974123	n/a	n/a	wait	n/a	n/a	DI48	n/a	-33
37.4479996345	n/a	n/a	wait	n/a	n/a	DI33	n/a	-32
38.3879965476	n/a	n/a	wait	n/a	n/a	DI30	n/a	-31
39.5479983023	n/a	n/a	wait	n/a	n/a	DI45	n/a	-30
40.5080011419	n/a	n/a	wait	n/a	n/a	DI42	n/a	-29
41.5520007095	n/a	n/a	wait	n/a	n/a	DI35	n/a	-28
42.6079998097	n/a	n/a	wait	n/a	n/a	DI33	n/a	-27
43.6639989100	n/a	n/a	wait	n/a	n/a	DI38	n/a	-26
44.8120011321	n/a	n/a	wait	n/a	n/a	DI34	n/a	-25
45.9639964930	n/a	n/a	wait	n/a	n/a	DI41	n/a	-24
46.8959970704	n/a	n/a	wait	n/a	n/a	DI25	n/a	-23
48.0760047517	n/a	n/a	wait	n/a	n/a	DI29	n/a	-22
49.0119984678	n/a	n/a	wait	n/a	n/a	DI32	n/a	-21
50.1679970256	n/a	n/a	wait	n/a	n/a	DI36	n/a	-20
51.0960044644	n/a	n/a	wait	n/a	n/a	DI26	n/a	-19
52.2520030222	n/a	n/a	wait	n/a	n/a	DI32	n/a	-18
53.7120031497	n/a	n/a	wait	n/a	n/a	DI23	n/a	-17
54.3119998953	n/a	n/a	wait	n/a	n/a	DI26	n/a	-16
55.2560000054	n/a	n/a	wait	n/a	n/a	DI24	n/a	-15
56.4359976283	n/a	n/a	wait	n/a	n/a	DI31	n/a	-14
57.4799971960	n/a	n/a	wait	n/a	n/a	DI37	n/a	-13
58.4200041673	n/a	n/a	wait	n/a	n/a	DI25	n/a	-12
59.5719995282	n/a	n/a	wait	n/a	n/a	DI36	n/a	-11
60.6159990958	n/a	n/a	wait	n/a	n/a	DI23	n/a	-10
61.7719976536	n/a	n/a	wait	n/a	n/a	DI21	n/a	-9
62.8120040826	n/a	n/a	wait	n/a	n/a	DI26	n/a	-8
63.7479977987	n/a	n/a	wait	n/a	n/a	DI36	n/a	-7
64.9079995534	n/a	n/a	wait	n/a	n/a	DI25	n/a	-6
65.8479964665	n/a	n/a	wait	n/a	n/a	DI28	n/a	-5
67.0199977539	n/a	n/a	wait	n/a	n/a	DI37	n/a	-4
67.9720042578	n/a	n/a	wait	n/a	n/a	DI28	n/a	-3
69.1359991512	n/a	n/a	wait	n/a	n/a	DI34	n/a	-2
70.0759960643	n/a	n/a	wait	n/a	n/a	DI28	n/a	-1
71.2320046804	n/a	n/a	wait	n/a	n/a	DI43	n/a	0
72.1720015935	n/a	n/a	wait	n/a	n/a	DI24	n/a	1
73.3239969543	n/a	n/a	wait	n/a	n/a	DI38	n/a	2
74.2640039257	n/a	n/a	wait	n/a	n/a	DI33	n/a	3
75.4279988191	n/a	n/a	wait	n/a	n/a	DI50	n/a	4
76.3839984617	n/a	n/a	wait	n/a	n/a	DI45	n/a	5
77.5440002165	n/a	n/a	wait	n/a	n/a	DI30	n/a	6
78.4760007939	n/a	n/a	wait	n/a	n/a	DI35	n/a	7
79.5200003616	n/a	n/a	wait	n/a	n/a	DI27	n/a	8
80.5680031261	n/a	n/a	wait	n/a	n/a	DI27	n/a	9
81.6079994968	n/a	n/a	wait	n/a	n/a	DI35	n/a	10
82.7680012516	n/a	n/a	wait	n/a	n/a	DI24	n/a	11
83.7040050260	n/a	n/a	wait	n/a	n/a	DI31	n/a	12
84.8639967225	n/a	n/a	wait	n/a	n/a	DI25	n/a	13
85.8040036938	n/a	n/a	wait	n/a	n/a	DI25	n/a	14
86.9720017842	n/a	n/a	wait	n/a	n/a	DI40	n/a	15
