onset	duration	sample	trial_type	response_time	stim_file	value	HED	second_after_ready
30.6840049407	n/a	n/a	wait	n/a	n/a	DI35	n/a	-39
31.3000044159	n/a	n/a	wait	n/a	n/a	DI28	n/a	-38
32.2359981320	n/a	n/a	wait	n/a	n/a	DI37	n/a	-37
33.2799976996	n/a	n/a	wait	n/a	n/a	DI37	n/a	-36
34.4359962574	n/a	n/a	wait	n/a	n/a	DI38	n/a	-35
35.3799963675	n/a	n/a	wait	n/a	n/a	DI38	n/a	-34
36.5440013192	n/a	n/a	wait	n/a	n/a	DI26	n/a	-33
37.4760018966	n/a	n/a	wait	n/a	n/a	DI27	n/a	-32
38.5240046612	n/a	n/a	wait	n/a	n/a	DI23	n/a	-31
39.6680036864	n/a	n/a	wait	n/a	n/a	DI27	n/a	-30
40.6120037965	n/a	n/a	wait	n/a	n/a	DI31	n/a	-29
41.7680023543	n/a	n/a	wait	n/a	n/a	DI30	n/a	-28
42.9199977151	n/a	n/a	wait	n/a	n/a	DI39	n/a	-27
43.9639972827	n/a	n/a	wait	n/a	n/a	DI29	n/a	-26
44.9000010571	n/a	n/a	wait	n/a	n/a	DI39	n/a	-25
46.0559996150	n/a	n/a	wait	n/a	n/a	DI50	n/a	-24
46.9920033894	n/a	n/a	wait	n/a	n/a	DI36	n/a	-23
48.1519950858	n/a	n/a	wait	n/a	n/a	DI40	n/a	-22
49.0999983928	n/a	n/a	wait	n/a	n/a	DI45	n/a	-21
50.2559969506	n/a	n/a	wait	n/a	n/a	DI40	n/a	-20
51.2119965932	n/a	n/a	wait	n/a	n/a	DI35	n/a	-19
52.2719988904	n/a	n/a	wait	n/a	n/a	DI39	n/a	-18
53.3240048519	n/a	n/a	wait	n/a	n/a	DI30	n/a	-17
54.4760002128	n/a	n/a	wait	n/a	n/a	DI32	n/a	-16
55.5319993130	n/a	n/a	wait	n/a	n/a	DI43	n/a	-15
56.4759994230	n/a	n/a	wait	n/a	n/a	DI30	n/a	-14
57.5199989907	n/a	n/a	wait	n/a	n/a	DI47	n/a	-13
58.6759975485	n/a	n/a	wait	n/a	n/a	DI36	n/a	-12
59.6280040524	n/a	n/a	wait	n/a	n/a	DI33	n/a	-11
60.7879957489	n/a	n/a	wait	n/a	n/a	DI36	n/a	-10
61.7319958589	n/a	n/a	wait	n/a	n/a	DI37	n/a	-9
62.8880044750	n/a	n/a	wait	n/a	n/a	DI30	n/a	-8
