onset	duration	sample	trial_type	response_time	stim_file	value	HED	second_after_ready
21.1920025132	n/a	n/a	wait	n/a	n/a	DI32	n/a	-39
21.7080025307	n/a	n/a	wait	n/a	n/a	DI43	n/a	-38
22.8680042855	n/a	n/a	wait	n/a	n/a	DI27	n/a	-37
23.8120043955	n/a	n/a	wait	n/a	n/a	DI30	n/a	-36
24.9639997563	n/a	n/a	wait	n/a	n/a	DI36	n/a	-35
25.9159962020	n/a	n/a	wait	n/a	n/a	DI31	n/a	-34
27.0840043507	n/a	n/a	wait	n/a	n/a	DI41	n/a	-33
28.0360007963	n/a	n/a	wait	n/a	n/a	DI26	n/a	-32
29.1960025511	n/a	n/a	wait	n/a	n/a	DI36	n/a	-31
30.1359994642	n/a	n/a	wait	n/a	n/a	DI42	n/a	-30
31.2919980220	n/a	n/a	wait	n/a	n/a	DI29	n/a	-29
32.2320049933	n/a	n/a	wait	n/a	n/a	DI38	n/a	-28
33.3799971572	n/a	n/a	wait	n/a	n/a	DI31	n/a	-27
34.3200041286	n/a	n/a	wait	n/a	n/a	DI36	n/a	-26
35.4799958251	n/a	n/a	wait	n/a	n/a	DI43	n/a	-25
36.4239959351	n/a	n/a	wait	n/a	n/a	DI32	n/a	-24
37.4719986997	n/a	n/a	wait	n/a	n/a	DI30	n/a	-23
38.5399973325	n/a	n/a	wait	n/a	n/a	DI20	n/a	-22
39.6999990872	n/a	n/a	wait	n/a	n/a	DI30	n/a	-21
40.7439986548	n/a	n/a	wait	n/a	n/a	DI32	n/a	-20
41.6800024292	n/a	n/a	wait	n/a	n/a	DI31	n/a	-19
42.8319977901	n/a	n/a	wait	n/a	n/a	DI43	n/a	-18
43.7720047615	n/a	n/a	wait	n/a	n/a	DI25	n/a	-17
44.9640019170	n/a	n/a	wait	n/a	n/a	DI37	n/a	-16
45.9119951657	n/a	n/a	wait	n/a	n/a	DI30	n/a	-15
47.0560042492	n/a	n/a	wait	n/a	n/a	DI41	n/a	-14
48.2199991426	n/a	n/a	wait	n/a	n/a	DI36	n/a	-13
49.1519997201	n/a	n/a	wait	n/a	n/a	DI26	n/a	-12
50.3039950809	n/a	n/a	wait	n/a	n/a	DI33	n/a	-11
51.2440020523	n/a	n/a	wait	n/a	n/a	DI28	n/a	-10
52.4000006101	n/a	n/a	wait	n/a	n/a	DI22	n/a	-9
53.3320011876	n/a	n/a	wait	n/a	n/a	DI34	n/a	-8
54.4879997454	n/a	n/a	wait	n/a	n/a	DI33	n/a	-7
55.4200003228	n/a	n/a	wait	n/a	n/a	DI27	n/a	-6
56.4639998904	n/a	n/a	wait	n/a	n/a	DI34	n/a	-5
57.5240021876	n/a	n/a	wait	n/a	n/a	DI29	n/a	-4
58.6879970810	n/a	n/a	wait	n/a	n/a	DI41	n/a	-3
59.7479993782	n/a	n/a	wait	n/a	n/a	DI33	n/a	-2
60.6999958239	n/a	n/a	wait	n/a	n/a	DI37	n/a	-1
61.7359990559	n/a	n/a	wait	n/a	n/a	DI23	n/a	0
62.8960008106	n/a	n/a	wait	n/a	n/a	DI42	n/a	1
63.9400003783	n/a	n/a	wait	n/a	n/a	DI31	n/a	2
64.8760041527	n/a	n/a	wait	n/a	n/a	DI34	n/a	3
66.0320027105	n/a	n/a	wait	n/a	n/a	DI37	n/a	4
66.9640032879	n/a	n/a	wait	n/a	n/a	DI28	n/a	5
68.1200018457	n/a	n/a	wait	n/a	n/a	DI40	n/a	6
69.2800036005	n/a	n/a	wait	n/a	n/a	DI28	n/a	7
70.2240037105	n/a	n/a	wait	n/a	n/a	DI38	n/a	8
71.1800033531	n/a	n/a	wait	n/a	n/a	DI33	n/a	9
72.3319987140	n/a	n/a	wait	n/a	n/a	DI31	n/a	10
73.4879972718	n/a	n/a	wait	n/a	n/a	DI33	n/a	11
74.4280042431	n/a	n/a	wait	n/a	n/a	DI35	n/a	12
75.3960034183	n/a	n/a	wait	n/a	n/a	DI40	n/a	13
76.4559956572	n/a	n/a	wait	n/a	n/a	DI31	n/a	14
77.6120042733	n/a	n/a	wait	n/a	n/a	DI43	n/a	15
78.7680028311	n/a	n/a	wait	n/a	n/a	DI26	n/a	16
79.7120029411	n/a	n/a	wait	n/a	n/a	DI39	n/a	17
80.7639988444	n/a	n/a	wait	n/a	n/a	DI30	n/a	18
81.8079984120	n/a	n/a	relax	n/a	n/a	DI90	n/a	19
82.9600038311	n/a	n/a	relax	n/a	n/a	DI98	n/a	20
83.9079970798	n/a	n/a	relax	n/a	n/a	D100	n/a	21
85.0639956377	n/a	n/a	relax	n/a	n/a	DI95	n/a	22
85.9920030764	n/a	n/a	relax	n/a	n/a	DI95	n/a	23
