onset	duration	sample	trial_type	response_time	stim_file	value	HED	second_after_ready
27.8279954872	n/a	n/a	wait	n/a	n/a	DI32	n/a	-39
27.9199986092	n/a	n/a	wait	n/a	n/a	DI29	n/a	-38
29.0720040283	n/a	n/a	wait	n/a	n/a	DI21	n/a	-37
30.0199972770	n/a	n/a	wait	n/a	n/a	DI27	n/a	-36
31.2000049583	n/a	n/a	wait	n/a	n/a	DI23	n/a	-35
32.1280023388	n/a	n/a	wait	n/a	n/a	DI29	n/a	-34
33.2919972322	n/a	n/a	wait	n/a	n/a	DI38	n/a	-33
34.2400005392	n/a	n/a	wait	n/a	n/a	DI35	n/a	-32
35.4280045561	n/a	n/a	wait	n/a	n/a	DI31	n/a	-31
36.3720046661	n/a	n/a	wait	n/a	n/a	DI34	n/a	-30
37.5319963626	n/a	n/a	wait	n/a	n/a	DI32	n/a	-29
38.4720033339	n/a	n/a	wait	n/a	n/a	DI24	n/a	-28
39.5239992372	n/a	n/a	wait	n/a	n/a	DI31	n/a	-27
40.5759951404	n/a	n/a	wait	n/a	n/a	DI33	n/a	-26
41.6560033641	n/a	n/a	wait	n/a	n/a	DI25	n/a	-25
42.8039955280	n/a	n/a	wait	n/a	n/a	DI36	n/a	-24
43.7399993024	n/a	n/a	wait	n/a	n/a	DI36	n/a	-23
44.9040042541	n/a	n/a	wait	n/a	n/a	DI23	n/a	-22
45.8480043641	n/a	n/a	wait	n/a	n/a	DI32	n/a	-21
47.0040029219	n/a	n/a	wait	n/a	n/a	DI20	n/a	-20
48.2959995351	n/a	n/a	wait	n/a	n/a	DI36	n/a	-19
49.0160016648	n/a	n/a	wait	n/a	n/a	DI20	n/a	-18
50.0600012324	n/a	n/a	wait	n/a	n/a	DI17	n/a	-17
51.2040002576	n/a	n/a	wait	n/a	n/a	DI26	n/a	-16
52.2520030222	n/a	n/a	wait	n/a	n/a	DI34	n/a	-15
53.1960031322	n/a	n/a	wait	n/a	n/a	DI15	n/a	-14
54.3479984931	n/a	n/a	wait	n/a	n/a	DI23	n/a	-13
55.2840022675	n/a	n/a	wait	n/a	n/a	DI26	n/a	-12
56.4359976283	n/a	n/a	wait	n/a	n/a	DI31	n/a	-11
57.5959993831	n/a	n/a	wait	n/a	n/a	DI25	n/a	-10
58.5599953613	n/a	n/a	wait	n/a	n/a	DI36	n/a	-9
59.4919959388	n/a	n/a	wait	n/a	n/a	DI39	n/a	-8
60.7600035450	n/a	n/a	wait	n/a	n/a	DI25	n/a	-7
61.7079967937	n/a	n/a	wait	n/a	n/a	DI34	n/a	-6
62.6560001007	n/a	n/a	wait	n/a	n/a	DI32	n/a	-5
63.8040023229	n/a	n/a	wait	n/a	n/a	DI39	n/a	-4
64.9720004133	n/a	n/a	wait	n/a	n/a	DI28	n/a	-3
65.9119973264	n/a	n/a	wait	n/a	n/a	DI34	n/a	-2
67.0760022781	n/a	n/a	wait	n/a	n/a	DI35	n/a	-1
68.0119959942	n/a	n/a	wait	n/a	n/a	DI45	n/a	0
69.1760009459	n/a	n/a	wait	n/a	n/a	DI41	n/a	1
70.1159978590	n/a	n/a	wait	n/a	n/a	DI27	n/a	2
71.2759996138	n/a	n/a	wait	n/a	n/a	DI31	n/a	3
72.2120033882	n/a	n/a	wait	n/a	n/a	DI33	n/a	4
73.3800014786	n/a	n/a	wait	n/a	n/a	DI21	n/a	5
74.3199983916	n/a	n/a	wait	n/a	n/a	DI43	n/a	6
75.4759969494	n/a	n/a	wait	n/a	n/a	DI37	n/a	7
76.4240002564	n/a	n/a	wait	n/a	n/a	DI31	n/a	8
77.6080010763	n/a	n/a	wait	n/a	n/a	DI41	n/a	9
78.5400016538	n/a	n/a	wait	n/a	n/a	DI30	n/a	10
79.5960007540	n/a	n/a	wait	n/a	n/a	DI30	n/a	11
80.6440035186	n/a	n/a	wait	n/a	n/a	DI35	n/a	12
81.8039952151	n/a	n/a	wait	n/a	n/a	DI29	n/a	13
82.8519979796	n/a	n/a	wait	n/a	n/a	DI30	n/a	14
83.7880017540	n/a	n/a	wait	n/a	n/a	DI33	n/a	15
84.9600030414	n/a	n/a	wait	n/a	n/a	DI27	n/a	16
85.9079962901	n/a	n/a	wait	n/a	n/a	DI24	n/a	17
87.0640049062	n/a	n/a	wait	n/a	n/a	DI34	n/a	18
87.9999986223	n/a	n/a	wait	n/a	n/a	DI37	n/a	19
89.0720004520	n/a	n/a	relax	n/a	n/a	DI96	n/a	20
90.2239958129	n/a	n/a	relax	n/a	n/a	DI89	n/a	21
91.1640027843	n/a	n/a	relax	n/a	n/a	DI99	n/a	22
92.3200013421	n/a	n/a	relax	n/a	n/a	DI84	n/a	23
93.2479987226	n/a	n/a	relax	n/a	n/a	DI97	n/a	24
94.3439996175	n/a	n/a	relax	n/a	n/a	D255	n/a	25
94.5279958031	n/a	n/a	relax	n/a	n/a	DI93	n/a	26
95.5320036343	n/a	n/a	getready	n/a	n/a	D155	n/a	1
96.4679973505	n/a	n/a	getready	n/a	n/a	D169	n/a	2
97.6239959083	n/a	n/a	getready	n/a	n/a	D145	n/a	3
98.5319974205	n/a	n/a	getready	n/a	n/a	D159	n/a	4
99.5960029147	n/a	n/a	getready	n/a	n/a	D163	n/a	5
100.6520020149	n/a	n/a	getready	n/a	n/a	D162	n/a	6
101.6519965909	n/a	n/a	concentrate	n/a	n/a	D223	n/a	7
102.8040020100	n/a	n/a	concentrate	n/a	n/a	D221	n/a	8
103.7519952587	n/a	n/a	concentrate	n/a	n/a	D215	n/a	9
104.9239965460	n/a	n/a	concentrate	n/a	n/a	D226	n/a	10
105.8640035174	n/a	n/a	concentrate	n/a	n/a	D226	n/a	11
107.0279984108	n/a	n/a	concentrate	n/a	n/a	D223	n/a	12
108.0640016428	n/a	n/a	concentrate	n/a	n/a	D214	n/a	13
109.2279965363	n/a	n/a	concentrate	n/a	n/a	D214	n/a	14
