onset	duration	sample	trial_type	response_time	stim_file	value	HED	second_after_ready
22.4000023983	n/a	n/a	wait	n/a	n/a	DI26	n/a	-39
23.0280014060	n/a	n/a	wait	n/a	n/a	DI28	n/a	-38
24.0840005062	n/a	n/a	wait	n/a	n/a	DI16	n/a	-37
25.1479959420	n/a	n/a	wait	n/a	n/a	DI18	n/a	-36
26.1959987066	n/a	n/a	wait	n/a	n/a	DI22	n/a	-35
27.2600042007	n/a	n/a	wait	n/a	n/a	DI26	n/a	-34
28.4079963646	n/a	n/a	wait	n/a	n/a	DI31	n/a	-33
29.3440001390	n/a	n/a	wait	n/a	n/a	DI34	n/a	-32
30.4999986968	n/a	n/a	wait	n/a	n/a	DI30	n/a	-31
31.6520041159	n/a	n/a	wait	n/a	n/a	DI29	n/a	-30
32.5879978321	n/a	n/a	wait	n/a	n/a	DI24	n/a	-29
33.6400037936	n/a	n/a	wait	n/a	n/a	DI28	n/a	-28
34.8080018840	n/a	n/a	wait	n/a	n/a	DI38	n/a	-27
35.7559951327	n/a	n/a	wait	n/a	n/a	DI22	n/a	-26
36.9120037488	n/a	n/a	wait	n/a	n/a	DI23	n/a	-25
37.8800029240	n/a	n/a	wait	n/a	n/a	DI19	n/a	-24
38.8240030340	n/a	n/a	wait	n/a	n/a	DI29	n/a	-23
39.9840047888	n/a	n/a	wait	n/a	n/a	DI27	n/a	-22
40.9400044314	n/a	n/a	wait	n/a	n/a	DI31	n/a	-21
42.1159988574	n/a	n/a	wait	n/a	n/a	DI19	n/a	-20
43.1640016220	n/a	n/a	wait	n/a	n/a	DI24	n/a	-19
44.1159980676	n/a	n/a	wait	n/a	n/a	DI23	n/a	-18
45.1640008322	n/a	n/a	wait	n/a	n/a	DI22	n/a	-17
46.2080003998	n/a	n/a	wait	n/a	n/a	DI17	n/a	-16
47.3560026220	n/a	n/a	wait	n/a	n/a	DI25	n/a	-15
48.4079985253	n/a	n/a	wait	n/a	n/a	DI21	n/a	-14
49.3599949709	n/a	n/a	wait	n/a	n/a	DI31	n/a	-13
50.5160035870	n/a	n/a	wait	n/a	n/a	DI26	n/a	-12
51.4600036970	n/a	n/a	wait	n/a	n/a	DI31	n/a	-11
52.6199953935	n/a	n/a	wait	n/a	n/a	DI25	n/a	-10
53.7919966809	n/a	n/a	wait	n/a	n/a	DI24	n/a	-9
54.7280004553	n/a	n/a	wait	n/a	n/a	DI23	n/a	-8
55.8919953487	n/a	n/a	wait	n/a	n/a	DI22	n/a	-7
56.8320023201	n/a	n/a	wait	n/a	n/a	DI33	n/a	-6
57.9839976809	n/a	n/a	wait	n/a	n/a	DI24	n/a	-5
58.9200014553	n/a	n/a	wait	n/a	n/a	DI21	n/a	-4
60.0800032101	n/a	n/a	wait	n/a	n/a	DI27	n/a	-3
61.0439991883	n/a	n/a	wait	n/a	n/a	DI30	n/a	-2
62.0119983635	n/a	n/a	wait	n/a	n/a	DI22	n/a	-1
63.1679969213	n/a	n/a	wait	n/a	n/a	DI12	n/a	0
64.1160002283	n/a	n/a	wait	n/a	n/a	DI31	n/a	1
65.2000015906	n/a	n/a	wait	n/a	n/a	DI24	n/a	2
66.3639964840	n/a	n/a	wait	n/a	n/a	DI26	n/a	3
67.3040034554	n/a	n/a	wait	n/a	n/a	DI26	n/a	4
68.4639951519	n/a	n/a	wait	n/a	n/a	DI28	n/a	5
69.4079952619	n/a	n/a	wait	n/a	n/a	DI22	n/a	6
70.5679970167	n/a	n/a	wait	n/a	n/a	DI27	n/a	7
71.5080039880	n/a	n/a	wait	n/a	n/a	DI28	n/a	8
72.6679956845	n/a	n/a	wait	n/a	n/a	DI17	n/a	9
73.6159989915	n/a	n/a	wait	n/a	n/a	DI30	n/a	10
74.7839970819	n/a	n/a	wait	n/a	n/a	DI17	n/a	11
75.7159976593	n/a	n/a	wait	n/a	n/a	DI27	n/a	12
76.8759994141	n/a	n/a	wait	n/a	n/a	DI23	n/a	13
77.8159963272	n/a	n/a	wait	n/a	n/a	DI28	n/a	14
78.9800012789	n/a	n/a	wait	n/a	n/a	DI40	n/a	15
79.9199981920	n/a	n/a	wait	n/a	n/a	DI29	n/a	16
81.0759967498	n/a	n/a	wait	n/a	n/a	DI26	n/a	17
82.0280032537	n/a	n/a	wait	n/a	n/a	DI26	n/a	18
83.1039982221	n/a	n/a	wait	n/a	n/a	DI32	n/a	19
84.1640005193	n/a	n/a	relax	n/a	n/a	DI93	n/a	20
85.2159964225	n/a	n/a	relax	n/a	n/a	DI95	n/a	21
86.3759981773	n/a	n/a	relax	n/a	n/a	DI89	n/a	22
87.3280046812	n/a	n/a	relax	n/a	n/a	DI87	n/a	23
88.4840032390	n/a	n/a	relax	n/a	n/a	DI83	n/a	24
89.4359996847	n/a	n/a	relax	n/a	n/a	DI99	n/a	25
90.6039977751	n/a	n/a	relax	n/a	n/a	DI93	n/a	26
91.6520005397	n/a	n/a	relax	n/a	n/a	DI90	n/a	27
92.6000038466	n/a	n/a	relax	n/a	n/a	DI87	n/a	28
93.6479965529	n/a	n/a	relax	n/a	n/a	DI89	n/a	29
94.1919988326	n/a	n/a	relax	n/a	n/a	D255	n/a	30
94.8079983077	n/a	n/a	relax	n/a	n/a	DI83	n/a	31
95.7800006799	n/a	n/a	getready	n/a	n/a	D156	n/a	1
96.9359992377	n/a	n/a	getready	n/a	n/a	D157	n/a	2
97.8679998151	n/a	n/a	getready	n/a	n/a	D144	n/a	3
99.0759997002	n/a	n/a	getready	n/a	n/a	D153	n/a	4
100.0399956784	n/a	n/a	getready	n/a	n/a	D152	n/a	5
101.1920010976	n/a	n/a	getready	n/a	n/a	D148	n/a	6
102.1880025349	n/a	n/a	concentrate	n/a	n/a	D216	n/a	7
103.1440021775	n/a	n/a	concentrate	n/a	n/a	D214	n/a	8
104.1880017451	n/a	n/a	concentrate	n/a	n/a	D215	n/a	9
105.3440003029	n/a	n/a	concentrate	n/a	n/a	D212	n/a	10
106.2920036099	n/a	n/a	concentrate	n/a	n/a	D222	n/a	11
107.4519953064	n/a	n/a	concentrate	n/a	n/a	D218	n/a	12
108.3879990808	n/a	n/a	concentrate	n/a	n/a	D209	n/a	13
109.5520040325	n/a	n/a	concentrate	n/a	n/a	D211	n/a	14
110.4920009456	n/a	n/a	concentrate	n/a	n/a	D221	n/a	15
111.6439963064	n/a	n/a	concentrate	n/a	n/a	D224	n/a	16
112.5879964164	n/a	n/a	concentrate	n/a	n/a	D225	n/a	17
113.6400023780	n/a	n/a	concentrate	n/a	n/a	D226	n/a	18
114.8000041327	n/a	n/a	concentrate	n/a	n/a	D216	n/a	19
115.9519994936	n/a	n/a	concentrate	n/a	n/a	D213	n/a	20
116.8919964067	n/a	n/a	concentrate	n/a	n/a	D220	n/a	21
117.9359959743	n/a	n/a	relax	n/a	n/a	DI89	n/a	22
119.1000009260	n/a	n/a	relax	n/a	n/a	DI97	n/a	23
120.0360047004	n/a	n/a	relax	n/a	n/a	DI80	n/a	24
121.1880000613	n/a	n/a	relax	n/a	n/a	DI83	n/a	25
122.1320001713	n/a	n/a	relax	n/a	n/a	DI89	n/a	26
123.2160015336	n/a	n/a	relax	n/a	n/a	DI99	n/a	27
124.3720000914	n/a	n/a	relax	n/a	n/a	DI87	n/a	28
125.3119970045	n/a	n/a	relax	n/a	n/a	DI88	n/a	29
126.4679955623	n/a	n/a	relax	n/a	n/a	DI85	n/a	30
