onset	duration	sample	trial_type	response_time	stim_file	value	HED	second_after_ready
30.0360000066	n/a	n/a	wait	n/a	n/a	DI32	n/a	-39
30.6560026786	n/a	n/a	wait	n/a	n/a	DI41	n/a	-38
31.7199981145	n/a	n/a	wait	n/a	n/a	DI53	n/a	-37
32.7759972147	n/a	n/a	wait	n/a	n/a	DI30	n/a	-36
33.8439958475	n/a	n/a	wait	n/a	n/a	DI42	n/a	-35
34.8759958825	n/a	n/a	wait	n/a	n/a	DI44	n/a	-34
36.0359976373	n/a	n/a	wait	n/a	n/a	DI36	n/a	-33
36.9679982147	n/a	n/a	wait	n/a	n/a	DI43	n/a	-32
38.0119977823	n/a	n/a	wait	n/a	n/a	DI34	n/a	-31
39.1679963402	n/a	n/a	wait	n/a	n/a	DI40	n/a	-30
40.1040001146	n/a	n/a	wait	n/a	n/a	DI33	n/a	-29
41.2599986724	n/a	n/a	wait	n/a	n/a	DI34	n/a	-28
42.4159972302	n/a	n/a	wait	n/a	n/a	DI34	n/a	-27
43.4560036591	n/a	n/a	wait	n/a	n/a	DI34	n/a	-26
44.3960005722	n/a	n/a	wait	n/a	n/a	DI37	n/a	-25
45.5519991300	n/a	n/a	wait	n/a	n/a	DI45	n/a	-24
46.4919960431	n/a	n/a	wait	n/a	n/a	DI34	n/a	-23
47.6759968630	n/a	n/a	wait	n/a	n/a	DI26	n/a	-22
48.5679956458	n/a	n/a	wait	n/a	n/a	DI40	n/a	-21
49.7360037944	n/a	n/a	wait	n/a	n/a	DI39	n/a	-20
50.7040029696	n/a	n/a	wait	n/a	n/a	DI38	n/a	-19
51.7880043319	n/a	n/a	wait	n/a	n/a	DI31	n/a	-18
52.9519992254	n/a	n/a	wait	n/a	n/a	DI37	n/a	-17
53.7919966809	n/a	n/a	wait	n/a	n/a	DI32	n/a	-16
55.0560010902	n/a	n/a	wait	n/a	n/a	DI36	n/a	-15
56.0079975358	n/a	n/a	wait	n/a	n/a	DI38	n/a	-14
57.1799988232	n/a	n/a	wait	n/a	n/a	DI33	n/a	-13
58.1199957362	n/a	n/a	wait	n/a	n/a	DI46	n/a	-12
59.0679990432	n/a	n/a	wait	n/a	n/a	DI38	n/a	-11
60.2320039949	n/a	n/a	wait	n/a	n/a	DI40	n/a	-10
