onset	duration	sample	trial_type	response_time	stim_file	value	HED	second_after_ready
56.2439950488	n/a	n/a	wait	n/a	n/a	DI29	n/a	-39
56.4560035548	n/a	n/a	wait	n/a	n/a	DI20	n/a	-38
57.6159952513	n/a	n/a	wait	n/a	n/a	DI23	n/a	-37
58.5519990257	n/a	n/a	wait	n/a	n/a	DI25	n/a	-36
59.5919953964	n/a	n/a	wait	n/a	n/a	DI29	n/a	-35
60.6360050223	n/a	n/a	wait	n/a	n/a	DI28	n/a	-34
61.6800045899	n/a	n/a	wait	n/a	n/a	DI17	n/a	-33
62.7279972962	n/a	n/a	wait	n/a	n/a	DI22	n/a	-32
63.8879990510	n/a	n/a	wait	n/a	n/a	DI37	n/a	-31
64.8240028254	n/a	n/a	wait	n/a	n/a	DI27	n/a	-30
65.9719949893	n/a	n/a	wait	n/a	n/a	DI25	n/a	-29
66.9159950993	n/a	n/a	wait	n/a	n/a	DI28	n/a	-28
68.0639973215	n/a	n/a	wait	n/a	n/a	DI26	n/a	-27
69.2199958793	n/a	n/a	wait	n/a	n/a	DI18	n/a	-26
70.1519964567	n/a	n/a	wait	n/a	n/a	DI25	n/a	-25
71.3119982115	n/a	n/a	wait	n/a	n/a	DI24	n/a	-24
72.2480019859	n/a	n/a	wait	n/a	n/a	DI31	n/a	-23
73.3999973468	n/a	n/a	wait	n/a	n/a	DI37	n/a	-22
74.3319979242	n/a	n/a	wait	n/a	n/a	DI29	n/a	-21
75.3759974918	n/a	n/a	wait	n/a	n/a	DI32	n/a	-20
76.5359992466	n/a	n/a	wait	n/a	n/a	DI27	n/a	-19
77.6559992067	n/a	n/a	wait	n/a	n/a	DI25	n/a	-18
78.5959961197	n/a	n/a	wait	n/a	n/a	DI21	n/a	-17
79.6399956874	n/a	n/a	wait	n/a	n/a	DI27	n/a	-16
80.6800021163	n/a	n/a	wait	n/a	n/a	DI26	n/a	-15
81.7439975522	n/a	n/a	wait	n/a	n/a	DI24	n/a	-14
82.8960029713	n/a	n/a	wait	n/a	n/a	DI24	n/a	-13
83.9479988745	n/a	n/a	wait	n/a	n/a	DI23	n/a	-12
84.8759962550	n/a	n/a	wait	n/a	n/a	DI29	n/a	-11
86.0359980098	n/a	n/a	wait	n/a	n/a	DI25	n/a	-10
86.9720017842	n/a	n/a	wait	n/a	n/a	DI30	n/a	-9
88.1280003420	n/a	n/a	wait	n/a	n/a	DI29	n/a	-8
89.1679967127	n/a	n/a	wait	n/a	n/a	DI19	n/a	-7
90.0999972901	n/a	n/a	wait	n/a	n/a	DI23	n/a	-6
91.2640022418	n/a	n/a	wait	n/a	n/a	DI19	n/a	-5
92.2039991549	n/a	n/a	wait	n/a	n/a	DI26	n/a	-4
93.3640009097	n/a	n/a	wait	n/a	n/a	DI26	n/a	-3
94.5199994675	n/a	n/a	wait	n/a	n/a	DI35	n/a	-2
95.4680027745	n/a	n/a	wait	n/a	n/a	DI29	n/a	-1
96.6280045292	n/a	n/a	wait	n/a	n/a	DI17	n/a	0
97.5759977779	n/a	n/a	wait	n/a	n/a	DI32	n/a	1
98.5160047493	n/a	n/a	wait	n/a	n/a	DI22	n/a	2
99.6639969132	n/a	n/a	wait	n/a	n/a	DI29	n/a	3
100.7239992104	n/a	n/a	wait	n/a	n/a	DI26	n/a	4
101.8760046295	n/a	n/a	wait	n/a	n/a	DI27	n/a	5
