onset	duration	sample	trial_type	response_time	stim_file	value	HED	second_after_ready
21.4320032231	n/a	n/a	wait	n/a	n/a	DI29	n/a	-39
22.2000034831	n/a	n/a	wait	n/a	n/a	DI25	n/a	-38
23.3599951795	n/a	n/a	wait	n/a	n/a	DI20	n/a	-37
24.3160048804	n/a	n/a	wait	n/a	n/a	DI30	n/a	-36
25.3600044481	n/a	n/a	wait	n/a	n/a	DI30	n/a	-35
26.4199966869	n/a	n/a	wait	n/a	n/a	DI24	n/a	-34
27.4679994515	n/a	n/a	wait	n/a	n/a	DI30	n/a	-33
28.5239985517	n/a	n/a	wait	n/a	n/a	DI29	n/a	-32
29.6520049057	n/a	n/a	wait	n/a	n/a	DI17	n/a	-31
30.6999976120	n/a	n/a	wait	n/a	n/a	DI24	n/a	-30
31.6400045834	n/a	n/a	wait	n/a	n/a	DI23	n/a	-29
32.8039994768	n/a	n/a	wait	n/a	n/a	DI20	n/a	-28
33.7319968573	n/a	n/a	wait	n/a	n/a	DI31	n/a	-27
34.8879954151	n/a	n/a	wait	n/a	n/a	DI27	n/a	-26
35.8280023865	n/a	n/a	wait	n/a	n/a	DI31	n/a	-25
36.9799977473	n/a	n/a	wait	n/a	n/a	DI25	n/a	-24
38.0639991096	n/a	n/a	relax	n/a	n/a	DI94	n/a	-23
39.0079992197	n/a	n/a	relax	n/a	n/a	DI86	n/a	-22
40.1600046388	n/a	n/a	relax	n/a	n/a	DI93	n/a	-21
41.0959983549	n/a	n/a	relax	n/a	n/a	DI87	n/a	-20
42.1440011195	n/a	n/a	relax	n/a	n/a	DI81	n/a	-19
43.3400014720	n/a	n/a	relax	n/a	n/a	DI82	n/a	-18
44.3919973752	n/a	n/a	relax	n/a	n/a	DI86	n/a	-17
45.3599965504	n/a	n/a	getready	n/a	n/a	D157	n/a	1
46.4240020446	n/a	n/a	getready	n/a	n/a	D156	n/a	2
47.4879974804	n/a	n/a	getready	n/a	n/a	D149	n/a	3
48.4679961882	n/a	n/a	getready	n/a	n/a	D158	n/a	4
49.6320011399	n/a	n/a	getready	n/a	n/a	D150	n/a	5
