onset	duration	sample	trial_type	response_time	stim_file	value	HED	second_after_ready
37.7560044012	n/a	n/a	wait	n/a	n/a	DI17	n/a	-39
38.1999971650	n/a	n/a	wait	n/a	n/a	DI22	n/a	-38
39.1319977424	n/a	n/a	wait	n/a	n/a	DI32	n/a	-37
40.2080027691	n/a	n/a	wait	n/a	n/a	DI33	n/a	-36
41.3719976625	n/a	n/a	wait	n/a	n/a	DI38	n/a	-35
42.3120046339	n/a	n/a	wait	n/a	n/a	DI36	n/a	-34
43.4639999948	n/a	n/a	wait	n/a	n/a	DI33	n/a	-33
44.4120033017	n/a	n/a	wait	n/a	n/a	DI24	n/a	-32
45.5840045891	n/a	n/a	wait	n/a	n/a	DI28	n/a	-31
46.5199983052	n/a	n/a	wait	n/a	n/a	DI27	n/a	-30
47.6800000600	n/a	n/a	wait	n/a	n/a	DI20	n/a	-29
48.6199969730	n/a	n/a	wait	n/a	n/a	DI17	n/a	-28
49.7879950634	n/a	n/a	wait	n/a	n/a	DI27	n/a	-27
50.7319951735	n/a	n/a	wait	n/a	n/a	DI37	n/a	-26
51.9079996578	n/a	n/a	wait	n/a	n/a	DI29	n/a	-25
52.8479965708	n/a	n/a	wait	n/a	n/a	DI28	n/a	-24
54.0160047195	n/a	n/a	wait	n/a	n/a	DI25	n/a	-23
54.9680011652	n/a	n/a	wait	n/a	n/a	DI27	n/a	-22
56.1160033873	n/a	n/a	wait	n/a	n/a	DI31	n/a	-21
57.0600034974	n/a	n/a	wait	n/a	n/a	DI36	n/a	-20
58.1239989332	n/a	n/a	wait	n/a	n/a	DI48	n/a	-19
59.1720016978	n/a	n/a	wait	n/a	n/a	DI38	n/a	-18
60.2440035275	n/a	n/a	wait	n/a	n/a	DI31	n/a	-17
61.4120016179	n/a	n/a	wait	n/a	n/a	DI26	n/a	-16
62.3600049249	n/a	n/a	wait	n/a	n/a	DI24	n/a	-15
63.4079976312	n/a	n/a	wait	n/a	n/a	DI32	n/a	-14
64.5639961890	n/a	n/a	wait	n/a	n/a	DI34	n/a	-13
65.4959967664	n/a	n/a	wait	n/a	n/a	DI19	n/a	-12
66.6519953243	n/a	n/a	wait	n/a	n/a	DI16	n/a	-11
67.5879990987	n/a	n/a	wait	n/a	n/a	DI22	n/a	-10
68.7559971890	n/a	n/a	wait	n/a	n/a	DI25	n/a	-9
69.6920009634	n/a	n/a	wait	n/a	n/a	DI25	n/a	-8
70.8439963243	n/a	n/a	wait	n/a	n/a	DI29	n/a	-7
71.7840032957	n/a	n/a	wait	n/a	n/a	DI27	n/a	-6
