onset	duration	sample	trial_type	response_time	stim_file	value	HED	second_after_ready
23.1400003961	n/a	n/a	wait	n/a	n/a	DI29	n/a	-39
23.2280003211	n/a	n/a	wait	n/a	n/a	DI34	n/a	-38
24.0600014410	n/a	n/a	wait	n/a	n/a	DI40	n/a	-37
25.2239963344	n/a	n/a	wait	n/a	n/a	DI51	n/a	-36
26.1640033058	n/a	n/a	wait	n/a	n/a	DI40	n/a	-35
27.2320019386	n/a	n/a	wait	n/a	n/a	DI45	n/a	-34
28.2800047032	n/a	n/a	wait	n/a	n/a	DI39	n/a	-33
29.4439995966	n/a	n/a	wait	n/a	n/a	DI43	n/a	-32
30.3839965097	n/a	n/a	wait	n/a	n/a	DI44	n/a	-31
31.5520046583	n/a	n/a	wait	n/a	n/a	DI34	n/a	-30
32.4920015714	n/a	n/a	wait	n/a	n/a	DI33	n/a	-29
33.6559964648	n/a	n/a	wait	n/a	n/a	DI42	n/a	-28
34.7080024264	n/a	n/a	wait	n/a	n/a	DI52	n/a	-27
35.6520025364	n/a	n/a	wait	n/a	n/a	DI38	n/a	-26
36.7039984397	n/a	n/a	wait	n/a	n/a	DI52	n/a	-25
37.8680033914	n/a	n/a	wait	n/a	n/a	DI32	n/a	-24
38.9279956303	n/a	n/a	wait	n/a	n/a	DI42	n/a	-23
39.8960048637	n/a	n/a	wait	n/a	n/a	DI40	n/a	-22
41.0640029541	n/a	n/a	wait	n/a	n/a	DI42	n/a	-21
42.0159993998	n/a	n/a	wait	n/a	n/a	DI45	n/a	-20
43.1880006871	n/a	n/a	wait	n/a	n/a	DI37	n/a	-19
44.1279976002	n/a	n/a	wait	n/a	n/a	DI48	n/a	-18
45.1920030943	n/a	n/a	wait	n/a	n/a	DI34	n/a	-17
46.1919976703	n/a	n/a	wait	n/a	n/a	DI28	n/a	-16
47.2359972379	n/a	n/a	wait	n/a	n/a	DI31	n/a	-15
48.3079990677	n/a	n/a	wait	n/a	n/a	DI55	n/a	-14
49.4600044868	n/a	n/a	wait	n/a	n/a	DI37	n/a	-13
50.4040045968	n/a	n/a	wait	n/a	n/a	DI47	n/a	-12
51.5559999577	n/a	n/a	wait	n/a	n/a	DI41	n/a	-11
52.4880005351	n/a	n/a	wait	n/a	n/a	DI33	n/a	-10
53.6640050194	n/a	n/a	wait	n/a	n/a	DI48	n/a	-9
54.5999987355	n/a	n/a	wait	n/a	n/a	DI47	n/a	-8
55.7520041547	n/a	n/a	wait	n/a	n/a	DI43	n/a	-7
56.6920010678	n/a	n/a	wait	n/a	n/a	DI32	n/a	-6
57.8719986907	n/a	n/a	wait	n/a	n/a	DI50	n/a	-5
58.8159988008	n/a	n/a	wait	n/a	n/a	DI40	n/a	-4
59.9839968911	n/a	n/a	wait	n/a	n/a	DI57	n/a	-3
60.9200006655	n/a	n/a	wait	n/a	n/a	DI52	n/a	-2
62.0759992234	n/a	n/a	wait	n/a	n/a	DI37	n/a	-1
63.0240025303	n/a	n/a	wait	n/a	n/a	DI50	n/a	0
64.1800010881	n/a	n/a	wait	n/a	n/a	DI39	n/a	1
65.1160048625	n/a	n/a	wait	n/a	n/a	DI47	n/a	2
66.2919992886	n/a	n/a	wait	n/a	n/a	DI45	n/a	3
67.4359983138	n/a	n/a	wait	n/a	n/a	DI47	n/a	4
68.3799984238	n/a	n/a	wait	n/a	n/a	DI40	n/a	5
69.5320038429	n/a	n/a	wait	n/a	n/a	DI48	n/a	6
70.4799970917	n/a	n/a	wait	n/a	n/a	DI41	n/a	7
71.6359956495	n/a	n/a	wait	n/a	n/a	DI43	n/a	8
72.5719994239	n/a	n/a	wait	n/a	n/a	DI39	n/a	9
73.7200016460	n/a	n/a	wait	n/a	n/a	DI33	n/a	10
74.6520022235	n/a	n/a	wait	n/a	n/a	DI48	n/a	11
75.8240035108	n/a	n/a	wait	n/a	n/a	DI40	n/a	12
76.7640004239	n/a	n/a	wait	n/a	n/a	DI28	n/a	13
77.9240021787	n/a	n/a	wait	n/a	n/a	DI39	n/a	14
78.8639990917	n/a	n/a	wait	n/a	n/a	DI35	n/a	15
79.9199981920	n/a	n/a	wait	n/a	n/a	DI39	n/a	16
81.0720036111	n/a	n/a	wait	n/a	n/a	DI39	n/a	17
82.0120005242	n/a	n/a	wait	n/a	n/a	DI43	n/a	18
83.1759954176	n/a	n/a	wait	n/a	n/a	DI39	n/a	19
84.1760000519	n/a	n/a	relax	n/a	n/a	D101	n/a	20
85.2439986846	n/a	n/a	relax	n/a	n/a	D109	n/a	21
86.2879982523	n/a	n/a	relax	n/a	n/a	DI98	n/a	22
87.4400036714	n/a	n/a	relax	n/a	n/a	D100	n/a	23
88.4960027716	n/a	n/a	relax	n/a	n/a	DI99	n/a	24
89.4439960203	n/a	n/a	relax	n/a	n/a	DI98	n/a	25
89.9519997022	n/a	n/a	relax	n/a	n/a	D255	n/a	26
90.6039977751	n/a	n/a	relax	n/a	n/a	DI96	n/a	27
91.5879996798	n/a	n/a	getready	n/a	n/a	D167	n/a	1
92.5240034542	n/a	n/a	getready	n/a	n/a	D164	n/a	2
93.6759988151	n/a	n/a	getready	n/a	n/a	D164	n/a	3
94.6679970554	n/a	n/a	getready	n/a	n/a	D176	n/a	4
95.8239956132	n/a	n/a	getready	n/a	n/a	D164	n/a	5
96.7679957232	n/a	n/a	getready	n/a	n/a	D168	n/a	6
97.9600029371	n/a	n/a	concentrate	n/a	n/a	D227	n/a	7
98.8999998502	n/a	n/a	concentrate	n/a	n/a	D228	n/a	8
100.0519952110	n/a	n/a	concentrate	n/a	n/a	D223	n/a	9
100.9920021824	n/a	n/a	concentrate	n/a	n/a	D229	n/a	10
102.1520039371	n/a	n/a	concentrate	n/a	n/a	D229	n/a	11
