onset	duration	sample	trial_type	response_time	stim_file	value	HED	second_after_ready
45.2239984951	n/a	n/a	wait	n/a	n/a	DI39	n/a	-39
45.5320032618	n/a	n/a	wait	n/a	n/a	DI32	n/a	-38
46.5760028294	n/a	n/a	wait	n/a	n/a	DI37	n/a	-37
47.7360045842	n/a	n/a	wait	n/a	n/a	DI48	n/a	-36
48.7839972905	n/a	n/a	wait	n/a	n/a	DI34	n/a	-35
49.7320005975	n/a	n/a	wait	n/a	n/a	DI35	n/a	-34
50.7440047643	n/a	n/a	wait	n/a	n/a	DI50	n/a	-33
51.7840011350	n/a	n/a	wait	n/a	n/a	DI39	n/a	-32
52.9479960284	n/a	n/a	wait	n/a	n/a	DI49	n/a	-31
54.0199978582	n/a	n/a	wait	n/a	n/a	DI33	n/a	-30
54.9560016326	n/a	n/a	wait	n/a	n/a	DI40	n/a	-29
56.1079969934	n/a	n/a	wait	n/a	n/a	DI32	n/a	-28
57.0600034974	n/a	n/a	wait	n/a	n/a	DI26	n/a	-27
58.1160025976	n/a	n/a	wait	n/a	n/a	DI49	n/a	-26
59.2799974910	n/a	n/a	wait	n/a	n/a	DI37	n/a	-25
60.2320039949	n/a	n/a	wait	n/a	n/a	DI41	n/a	-24
61.3839993558	n/a	n/a	wait	n/a	n/a	DI30	n/a	-23
62.3239962689	n/a	n/a	wait	n/a	n/a	DI43	n/a	-22
63.4920044175	n/a	n/a	wait	n/a	n/a	DI31	n/a	-21
64.4360045276	n/a	n/a	wait	n/a	n/a	DI28	n/a	-20
65.5959962240	n/a	n/a	wait	n/a	n/a	DI33	n/a	-19
66.5480027280	n/a	n/a	wait	n/a	n/a	DI43	n/a	-18
67.5999986312	n/a	n/a	wait	n/a	n/a	DI33	n/a	-17
68.7640035830	n/a	n/a	wait	n/a	n/a	DI29	n/a	-16
69.7119968317	n/a	n/a	wait	n/a	n/a	DI29	n/a	-15
70.8640022508	n/a	n/a	wait	n/a	n/a	DI30	n/a	-14
71.7999959669	n/a	n/a	wait	n/a	n/a	DI37	n/a	-13
72.9560045830	n/a	n/a	wait	n/a	n/a	DI26	n/a	-12
73.8919982991	n/a	n/a	wait	n/a	n/a	DI32	n/a	-11
75.0520000539	n/a	n/a	wait	n/a	n/a	DI35	n/a	-10
76.0039964995	n/a	n/a	wait	n/a	n/a	DI47	n/a	-9
77.0800015262	n/a	n/a	wait	n/a	n/a	DI40	n/a	-8
78.1400038234	n/a	n/a	wait	n/a	n/a	DI45	n/a	-7
79.2200019888	n/a	n/a	wait	n/a	n/a	DI31	n/a	-6
80.3640010140	n/a	n/a	wait	n/a	n/a	DI36	n/a	-5
81.3080011240	n/a	n/a	wait	n/a	n/a	DI32	n/a	-4
82.4719960175	n/a	n/a	wait	n/a	n/a	DI45	n/a	-3
83.4079997919	n/a	n/a	wait	n/a	n/a	DI39	n/a	-2
84.5639983497	n/a	n/a	wait	n/a	n/a	DI32	n/a	-1
85.5120016567	n/a	n/a	wait	n/a	n/a	DI50	n/a	0
86.6680002145	n/a	n/a	wait	n/a	n/a	DI45	n/a	1
87.6040039889	n/a	n/a	wait	n/a	n/a	DI36	n/a	2
88.7639956853	n/a	n/a	wait	n/a	n/a	DI38	n/a	3
89.7079957954	n/a	n/a	wait	n/a	n/a	DI28	n/a	4
90.8679975501	n/a	n/a	wait	n/a	n/a	DI33	n/a	5
91.8119976602	n/a	n/a	wait	n/a	n/a	DI37	n/a	6
92.9760026119	n/a	n/a	wait	n/a	n/a	DI38	n/a	7
94.0480044416	n/a	n/a	wait	n/a	n/a	DI51	n/a	8
94.9839981577	n/a	n/a	wait	n/a	n/a	DI48	n/a	9
96.0279977254	n/a	n/a	wait	n/a	n/a	DI47	n/a	10
97.0839968256	n/a	n/a	wait	n/a	n/a	DI38	n/a	11
98.1480023197	n/a	n/a	wait	n/a	n/a	DI18	n/a	12
99.3040008775	n/a	n/a	wait	n/a	n/a	DI35	n/a	13
100.2480009875	n/a	n/a	wait	n/a	n/a	DI42	n/a	14
101.3960032097	n/a	n/a	wait	n/a	n/a	DI23	n/a	15
102.3360001228	n/a	n/a	wait	n/a	n/a	DI40	n/a	16
103.5039982132	n/a	n/a	wait	n/a	n/a	DI33	n/a	17
104.4359987906	n/a	n/a	wait	n/a	n/a	DI43	n/a	18
105.5880042098	n/a	n/a	wait	n/a	n/a	DI35	n/a	19
106.5879987857	n/a	n/a	relax	n/a	n/a	D106	n/a	20
107.7640032700	n/a	n/a	relax	n/a	n/a	DI97	n/a	21
108.8200023702	n/a	n/a	relax	n/a	n/a	DI97	n/a	22
109.7520029477	n/a	n/a	relax	n/a	n/a	D103	n/a	23
110.9159978411	n/a	n/a	relax	n/a	n/a	DI98	n/a	24
111.8599979511	n/a	n/a	relax	n/a	n/a	D107	n/a	25
113.0159965090	n/a	n/a	relax	n/a	n/a	DI99	n/a	26
113.9680030129	n/a	n/a	relax	n/a	n/a	D105	n/a	27
115.1280047677	n/a	n/a	relax	n/a	n/a	DI90	n/a	28
115.3559958867	n/a	n/a	relax	n/a	n/a	D255	n/a	29
116.0920007459	n/a	n/a	relax	n/a	n/a	DI94	n/a	30
117.1079980514	n/a	n/a	getready	n/a	n/a	D169	n/a	1
118.1919994137	n/a	n/a	getready	n/a	n/a	D156	n/a	2
119.3440048329	n/a	n/a	getready	n/a	n/a	D165	n/a	3
120.3159971467	n/a	n/a	getready	n/a	n/a	D171	n/a	4
121.4639993689	n/a	n/a	getready	n/a	n/a	D170	n/a	5
122.4120026759	n/a	n/a	getready	n/a	n/a	D167	n/a	6
123.4080041132	n/a	n/a	concentrate	n/a	n/a	D224	n/a	7
124.5520031384	n/a	n/a	concentrate	n/a	n/a	D223	n/a	8
125.6039990417	n/a	n/a	concentrate	n/a	n/a	D229	n/a	9
126.7640007964	n/a	n/a	concentrate	n/a	n/a	D229	n/a	10
127.8240030936	n/a	n/a	concentrate	n/a	n/a	D229	n/a	11
128.7759995393	n/a	n/a	concentrate	n/a	n/a	D230	n/a	12
129.8319986395	n/a	n/a	concentrate	n/a	n/a	D221	n/a	13
130.9920003942	n/a	n/a	concentrate	n/a	n/a	D217	n/a	14
131.9559963725	n/a	n/a	concentrate	n/a	n/a	D225	n/a	15
132.9080028764	n/a	n/a	concentrate	n/a	n/a	D228	n/a	16
134.0760009668	n/a	n/a	concentrate	n/a	n/a	D227	n/a	17
135.0159978799	n/a	n/a	concentrate	n/a	n/a	D229	n/a	18
136.0760001770	n/a	n/a	concentrate	n/a	n/a	D237	n/a	19
137.1199997447	n/a	n/a	concentrate	n/a	n/a	D242	n/a	20
