onset	duration	sample	trial_type	response_time	stim_file	value	HED	second_after_ready
21.9600027732	n/a	n/a	wait	n/a	n/a	DI33	n/a	-39
22.1640048853	n/a	n/a	wait	n/a	n/a	DI46	n/a	-38
22.8920033506	n/a	n/a	wait	n/a	n/a	DI40	n/a	-37
23.8360034606	n/a	n/a	wait	n/a	n/a	DI34	n/a	-36
24.8879993639	n/a	n/a	wait	n/a	n/a	DI36	n/a	-35
26.0600006512	n/a	n/a	wait	n/a	n/a	DI26	n/a	-34
27.1119965545	n/a	n/a	wait	n/a	n/a	DI32	n/a	-33
28.0520035259	n/a	n/a	wait	n/a	n/a	DI30	n/a	-32
29.2039988867	n/a	n/a	wait	n/a	n/a	DI46	n/a	-31
30.3599974445	n/a	n/a	wait	n/a	n/a	DI34	n/a	-30
31.2880048833	n/a	n/a	wait	n/a	n/a	DI27	n/a	-29
32.3520003191	n/a	n/a	wait	n/a	n/a	DI35	n/a	-28
33.3039967648	n/a	n/a	wait	n/a	n/a	DI38	n/a	-27
34.4639985195	n/a	n/a	wait	n/a	n/a	DI39	n/a	-26
35.6160039387	n/a	n/a	wait	n/a	n/a	DI44	n/a	-25
36.4680009267	n/a	n/a	wait	n/a	n/a	DI37	n/a	-24
37.6280026815	n/a	n/a	wait	n/a	n/a	DI43	n/a	-23
38.6720022491	n/a	n/a	wait	n/a	n/a	DI35	n/a	-22
39.8280008069	n/a	n/a	wait	n/a	n/a	DI29	n/a	-21
40.7679977200	n/a	n/a	wait	n/a	n/a	DI34	n/a	-20
41.9359958104	n/a	n/a	wait	n/a	n/a	DI26	n/a	-19
42.8880023143	n/a	n/a	wait	n/a	n/a	DI29	n/a	-18
43.8399987600	n/a	n/a	wait	n/a	n/a	DI42	n/a	-17
45.0439954481	n/a	n/a	wait	n/a	n/a	DI37	n/a	-16
46.0039982877	n/a	n/a	wait	n/a	n/a	DI38	n/a	-15
47.1599968455	n/a	n/a	wait	n/a	n/a	DI29	n/a	-14
48.0919974229	n/a	n/a	wait	n/a	n/a	DI20	n/a	-13
49.2519991777	n/a	n/a	wait	n/a	n/a	DI36	n/a	-12
50.1959992877	n/a	n/a	wait	n/a	n/a	DI54	n/a	-11
51.3519978455	n/a	n/a	wait	n/a	n/a	DI44	n/a	-10
52.3079974881	n/a	n/a	wait	n/a	n/a	DI35	n/a	-9
53.3840025148	n/a	n/a	wait	n/a	n/a	DI33	n/a	-8
54.4359984181	n/a	n/a	wait	n/a	n/a	DI42	n/a	-7
55.4919975183	n/a	n/a	wait	n/a	n/a	DI38	n/a	-6
56.6399997405	n/a	n/a	wait	n/a	n/a	DI40	n/a	-5
57.5839998505	n/a	n/a	wait	n/a	n/a	DI39	n/a	-4
58.7440016053	n/a	n/a	wait	n/a	n/a	DI39	n/a	-3
59.6799953214	n/a	n/a	wait	n/a	n/a	DI51	n/a	-2
60.8320007405	n/a	n/a	wait	n/a	n/a	DI40	n/a	-1
61.7800040475	n/a	n/a	wait	n/a	n/a	DI39	n/a	0
62.9480021379	n/a	n/a	wait	n/a	n/a	DI42	n/a	1
63.8800027153	n/a	n/a	wait	n/a	n/a	DI41	n/a	2
65.0360012732	n/a	n/a	wait	n/a	n/a	DI33	n/a	3
65.9759981862	n/a	n/a	wait	n/a	n/a	DI35	n/a	4
67.1400031379	n/a	n/a	wait	n/a	n/a	DI32	n/a	5
68.2960016958	n/a	n/a	wait	n/a	n/a	DI33	n/a	6
69.3359980664	n/a	n/a	wait	n/a	n/a	DI31	n/a	7
70.2799981765	n/a	n/a	wait	n/a	n/a	DI39	n/a	8
71.3520000062	n/a	n/a	wait	n/a	n/a	DI52	n/a	9
72.2919969193	n/a	n/a	wait	n/a	n/a	DI29	n/a	10
73.3719950846	n/a	n/a	wait	n/a	n/a	DI37	n/a	11
74.4400037757	n/a	n/a	wait	n/a	n/a	DI35	n/a	12
75.4879964820	n/a	n/a	wait	n/a	n/a	DI40	n/a	13
76.6359987042	n/a	n/a	wait	n/a	n/a	DI32	n/a	14
77.5840020112	n/a	n/a	wait	n/a	n/a	DI32	n/a	15
78.7320042334	n/a	n/a	wait	n/a	n/a	DI27	n/a	16
79.6720011464	n/a	n/a	wait	n/a	n/a	DI35	n/a	17
80.8440024338	n/a	n/a	wait	n/a	n/a	DI35	n/a	18
81.7959988794	n/a	n/a	wait	n/a	n/a	DI29	n/a	19
82.8320021114	n/a	n/a	relax	n/a	n/a	DI96	n/a	20
83.9880006692	n/a	n/a	relax	n/a	n/a	DI95	n/a	21
85.1480024240	n/a	n/a	relax	n/a	n/a	D102	n/a	22
86.0999988697	n/a	n/a	relax	n/a	n/a	DI95	n/a	23
87.0480021766	n/a	n/a	relax	n/a	n/a	DI95	n/a	24
88.2119970701	n/a	n/a	relax	n/a	n/a	DI98	n/a	25
89.1480008445	n/a	n/a	relax	n/a	n/a	DI99	n/a	26
90.3039994023	n/a	n/a	relax	n/a	n/a	D108	n/a	27
91.4640011570	n/a	n/a	relax	n/a	n/a	D104	n/a	28
92.4240039966	n/a	n/a	relax	n/a	n/a	DI96	n/a	29
93.3680041066	n/a	n/a	relax	n/a	n/a	DI97	n/a	30
94.4480022720	n/a	n/a	relax	n/a	n/a	D104	n/a	31
95.6119971654	n/a	n/a	relax	n/a	n/a	D112	n/a	32
96.5520041368	n/a	n/a	relax	n/a	n/a	D100	n/a	33
97.6999963007	n/a	n/a	relax	n/a	n/a	D108	n/a	34
98.6360000751	n/a	n/a	relax	n/a	n/a	DI98	n/a	35
99.7119950435	n/a	n/a	relax	n/a	n/a	DI98	n/a	36
100.8839963309	n/a	n/a	relax	n/a	n/a	DI98	n/a	37
101.9199995629	n/a	n/a	relax	n/a	n/a	D100	n/a	38
102.8560033373	n/a	n/a	relax	n/a	n/a	D105	n/a	39
104.0159950337	n/a	n/a	relax	n/a	n/a	D101	n/a	40
105.1200023226	n/a	n/a	relax	n/a	n/a	D255	n/a	41
105.1879963211	n/a	n/a	relax	n/a	n/a	DI97	n/a	42
106.1719982258	n/a	n/a	getready	n/a	n/a	D164	n/a	1
107.0999956063	n/a	n/a	getready	n/a	n/a	D170	n/a	2
108.2599973611	n/a	n/a	getready	n/a	n/a	D157	n/a	3
109.3679977885	n/a	n/a	getready	n/a	n/a	D174	n/a	4
110.3080047599	n/a	n/a	getready	n/a	n/a	D172	n/a	5
111.3880029253	n/a	n/a	getready	n/a	n/a	D164	n/a	6
112.4080034277	n/a	n/a	concentrate	n/a	n/a	D230	n/a	7
113.4799951992	n/a	n/a	concentrate	n/a	n/a	D229	n/a	8
114.6399969540	n/a	n/a	concentrate	n/a	n/a	D226	n/a	9
115.5800039253	n/a	n/a	concentrate	n/a	n/a	D237	n/a	10
116.7360024831	n/a	n/a	concentrate	n/a	n/a	D235	n/a	11
117.6800025932	n/a	n/a	concentrate	n/a	n/a	D231	n/a	12
118.8360011510	n/a	n/a	concentrate	n/a	n/a	D244	n/a	13
119.7720049254	n/a	n/a	concentrate	n/a	n/a	D225	n/a	14
120.9240002862	n/a	n/a	concentrate	n/a	n/a	D228	n/a	15
121.8600040606	n/a	n/a	concentrate	n/a	n/a	D241	n/a	16
123.0239989541	n/a	n/a	concentrate	n/a	n/a	D219	n/a	17
123.9679990641	n/a	n/a	concentrate	n/a	n/a	D222	n/a	18
125.1200044832	n/a	n/a	concentrate	n/a	n/a	D229	n/a	19
126.0559981993	n/a	n/a	concentrate	n/a	n/a	D241	n/a	20
127.2119967571	n/a	n/a	concentrate	n/a	n/a	D227	n/a	21
128.2439967922	n/a	n/a	relax	n/a	n/a	D105	n/a	22
129.5399966023	n/a	n/a	relax	n/a	n/a	D101	n/a	23
130.3680045835	n/a	n/a	relax	n/a	n/a	DI92	n/a	24
131.3159978322	n/a	n/a	relax	n/a	n/a	D111	n/a	25
132.3599973998	n/a	n/a	relax	n/a	n/a	D112	n/a	26
133.4640046886	n/a	n/a	relax	n/a	n/a	DI95	n/a	27
134.6399991146	n/a	n/a	relax	n/a	n/a	DI93	n/a	28
135.5959987572	n/a	n/a	relax	n/a	n/a	D100	n/a	29
136.7480041764	n/a	n/a	relax	n/a	n/a	DI98	n/a	30
137.6760015569	n/a	n/a	relax	n/a	n/a	DI96	n/a	31
138.8399964503	n/a	n/a	relax	n/a	n/a	DI98	n/a	32
139.7920029542	n/a	n/a	relax	n/a	n/a	D108	n/a	33
140.9520047090	n/a	n/a	relax	n/a	n/a	D104	n/a	34
141.8960048190	n/a	n/a	relax	n/a	n/a	D102	n/a	35
143.0640029094	n/a	n/a	relax	n/a	n/a	D111	n/a	36
143.9960034869	n/a	n/a	relax	n/a	n/a	D100	n/a	37
145.1520020447	n/a	n/a	relax	n/a	n/a	DI99	n/a	38
146.1039984903	n/a	n/a	relax	n/a	n/a	D106	n/a	39
147.1479980580	n/a	n/a	relax	n/a	n/a	D101	n/a	40
148.2960002801	n/a	n/a	relax	n/a	n/a	D105	n/a	41
149.3479961834	n/a	n/a	relax	n/a	n/a	D105	n/a	42
150.3000026873	n/a	n/a	relax	n/a	n/a	D106	n/a	43
150.9199953011	n/a	n/a	relax	n/a	n/a	D255	n/a	44
151.4279989830	n/a	n/a	relax	n/a	n/a	D101	n/a	45
152.4400031499	n/a	n/a	getready	n/a	n/a	D166	n/a	1
153.4879958562	n/a	n/a	getready	n/a	n/a	D171	n/a	2
154.6359980783	n/a	n/a	getready	n/a	n/a	D169	n/a	3
155.6319995157	n/a	n/a	getready	n/a	n/a	D165	n/a	4
156.7920012704	n/a	n/a	getready	n/a	n/a	D177	n/a	5
157.7400045774	n/a	n/a	getready	n/a	n/a	D162	n/a	6
158.7080037526	n/a	n/a	concentrate	n/a	n/a	D217	n/a	7
159.8640023104	n/a	n/a	concentrate	n/a	n/a	D226	n/a	8
160.7999960265	n/a	n/a	concentrate	n/a	n/a	D223	n/a	9
161.9599977813	n/a	n/a	concentrate	n/a	n/a	D228	n/a	10
163.1240027330	n/a	n/a	concentrate	n/a	n/a	D236	n/a	11
164.0639996461	n/a	n/a	concentrate	n/a	n/a	D240	n/a	12
165.0079997561	n/a	n/a	concentrate	n/a	n/a	D232	n/a	13
166.1639983139	n/a	n/a	concentrate	n/a	n/a	D240	n/a	14
167.3160037330	n/a	n/a	concentrate	n/a	n/a	D230	n/a	15
168.3720028332	n/a	n/a	concentrate	n/a	n/a	D232	n/a	16
169.3160029433	n/a	n/a	concentrate	n/a	n/a	D235	n/a	17
170.3799983791	n/a	n/a	concentrate	n/a	n/a	D220	n/a	18
171.4280011437	n/a	n/a	concentrate	n/a	n/a	D223	n/a	19
172.4760039083	n/a	n/a	concentrate	n/a	n/a	D229	n/a	20
173.5519988767	n/a	n/a	concentrate	n/a	n/a	D243	n/a	21
174.5360007814	n/a	n/a	relax	n/a	n/a	DI99	n/a	22
175.6999956748	n/a	n/a	relax	n/a	n/a	D101	n/a	23
176.6439957849	n/a	n/a	relax	n/a	n/a	D113	n/a	24
177.8080007366	n/a	n/a	relax	n/a	n/a	DI88	n/a	25
178.7599971823	n/a	n/a	relax	n/a	n/a	DI93	n/a	26
179.9720002643	n/a	n/a	relax	n/a	n/a	D104	n/a	27
180.9119971774	n/a	n/a	relax	n/a	n/a	D101	n/a	28
182.0799952677	n/a	n/a	relax	n/a	n/a	D104	n/a	29
183.0279985747	n/a	n/a	relax	n/a	n/a	D105	n/a	30
184.1839971325	n/a	n/a	relax	n/a	n/a	D107	n/a	31
185.1159977100	n/a	n/a	relax	n/a	n/a	DI93	n/a	32
186.1640004746	n/a	n/a	relax	n/a	n/a	D107	n/a	33
187.3199990324	n/a	n/a	relax	n/a	n/a	D116	n/a	34
188.2719954780	n/a	n/a	relax	n/a	n/a	D100	n/a	35
189.4360004297	n/a	n/a	relax	n/a	n/a	DI87	n/a	36
190.3759973428	n/a	n/a	relax	n/a	n/a	D107	n/a	37
191.4400028369	n/a	n/a	relax	n/a	n/a	DI96	n/a	38
192.4759960107	n/a	n/a	relax	n/a	n/a	D104	n/a	39
193.5479978404	n/a	n/a	relax	n/a	n/a	D105	n/a	40
194.7000032595	n/a	n/a	relax	n/a	n/a	DI94	n/a	41
195.6479965082	n/a	n/a	relax	n/a	n/a	D102	n/a	42
196.8039950660	n/a	n/a	relax	n/a	n/a	D115	n/a	43
197.7600047669	n/a	n/a	relax	n/a	n/a	DI95	n/a	44
198.9199964634	n/a	n/a	relax	n/a	n/a	D101	n/a	45
199.9679992280	n/a	n/a	relax	n/a	n/a	D108	n/a	46
200.8999998055	n/a	n/a	relax	n/a	n/a	DI97	n/a	47
201.9679984382	n/a	n/a	relax	n/a	n/a	D103	n/a	48
203.1200038574	n/a	n/a	relax	n/a	n/a	DI99	n/a	49
204.1719997606	n/a	n/a	relax	n/a	n/a	DI99	n/a	50
205.1119966737	n/a	n/a	relax	n/a	n/a	D110	n/a	51
206.1599994383	n/a	n/a	relax	n/a	n/a	D101	n/a	52
207.3120048574	n/a	n/a	relax	n/a	n/a	D105	n/a	53
208.2439953766	n/a	n/a	relax	n/a	n/a	D100	n/a	54
209.4039971313	n/a	n/a	relax	n/a	n/a	D101	n/a	55
210.3560036353	n/a	n/a	relax	n/a	n/a	DI99	n/a	56
211.4079995385	n/a	n/a	relax	n/a	n/a	D100	n/a	57
212.4440027705	n/a	n/a	relax	n/a	n/a	D108	n/a	58
213.4959986738	n/a	n/a	relax	n/a	n/a	DI99	n/a	59
214.5359950445	n/a	n/a	relax	n/a	n/a	D100	n/a	60
215.6959967992	n/a	n/a	relax	n/a	n/a	DI95	n/a	61
216.8480022184	n/a	n/a	relax	n/a	n/a	DI92	n/a	62
217.7959954671	n/a	n/a	relax	n/a	n/a	D113	n/a	63
218.9520040832	n/a	n/a	relax	n/a	n/a	D101	n/a	64
219.8960041932	n/a	n/a	relax	n/a	n/a	DI92	n/a	65
220.9559964321	n/a	n/a	relax	n/a	n/a	D109	n/a	66
222.1240045807	n/a	n/a	relax	n/a	n/a	D103	n/a	67
223.0760010264	n/a	n/a	relax	n/a	n/a	D101	n/a	68
224.2399959198	n/a	n/a	relax	n/a	n/a	D105	n/a	69
225.1759996942	n/a	n/a	relax	n/a	n/a	D104	n/a	70
226.3319982520	n/a	n/a	relax	n/a	n/a	DI94	n/a	71
227.2639988295	n/a	n/a	relax	n/a	n/a	DI99	n/a	72
228.4240005842	n/a	n/a	relax	n/a	n/a	DI97	n/a	73
229.3560011617	n/a	n/a	relax	n/a	n/a	D112	n/a	74
230.4040039263	n/a	n/a	relax	n/a	n/a	D109	n/a	75
231.4519966326	n/a	n/a	relax	n/a	n/a	D106	n/a	76
232.3400022767	n/a	n/a	relax	n/a	n/a	D255	n/a	77
232.5199952654	n/a	n/a	relax	n/a	n/a	DI88	n/a	78
233.5360026292	n/a	n/a	getready	n/a	n/a	D171	n/a	1
234.6920011870	n/a	n/a	getready	n/a	n/a	D160	n/a	2
235.7360007546	n/a	n/a	getready	n/a	n/a	D162	n/a	3
236.7119962654	n/a	n/a	getready	n/a	n/a	D177	n/a	4
237.8800044141	n/a	n/a	getready	n/a	n/a	D163	n/a	5
238.8200013272	n/a	n/a	getready	n/a	n/a	D164	n/a	6
240.0160016797	n/a	n/a	concentrate	n/a	n/a	D239	n/a	7
240.9640049866	n/a	n/a	concentrate	n/a	n/a	D228	n/a	8
242.1160003475	n/a	n/a	concentrate	n/a	n/a	D220	n/a	9
243.0600004575	n/a	n/a	concentrate	n/a	n/a	D228	n/a	10
244.2279985479	n/a	n/a	concentrate	n/a	n/a	D236	n/a	11
245.1599991254	n/a	n/a	concentrate	n/a	n/a	D228	n/a	12
246.3080013475	n/a	n/a	concentrate	n/a	n/a	D234	n/a	13
247.2479982606	n/a	n/a	concentrate	n/a	n/a	D229	n/a	14
248.4039968184	n/a	n/a	concentrate	n/a	n/a	D233	n/a	15
249.3400005928	n/a	n/a	concentrate	n/a	n/a	D233	n/a	16
250.4919959537	n/a	n/a	concentrate	n/a	n/a	D219	n/a	17
251.4519987932	n/a	n/a	concentrate	n/a	n/a	D226	n/a	18
252.5160042874	n/a	n/a	concentrate	n/a	n/a	D232	n/a	19
253.6600033126	n/a	n/a	concentrate	n/a	n/a	D225	n/a	20
254.6040034226	n/a	n/a	concentrate	n/a	n/a	D238	n/a	21
255.8039969138	n/a	n/a	relax	n/a	n/a	DI95	n/a	22
256.7719960890	n/a	n/a	relax	n/a	n/a	D101	n/a	23
257.9319978437	n/a	n/a	relax	n/a	n/a	D102	n/a	24
258.8800011507	n/a	n/a	relax	n/a	n/a	D103	n/a	25
260.0439960442	n/a	n/a	relax	n/a	n/a	DI94	n/a	26
261.0279979489	n/a	n/a	relax	n/a	n/a	D101	n/a	27
261.9800044528	n/a	n/a	relax	n/a	n/a	D100	n/a	28
263.1480025432	n/a	n/a	relax	n/a	n/a	D101	n/a	29
264.1959952495	n/a	n/a	relax	n/a	n/a	D114	n/a	30
265.1439985565	n/a	n/a	relax	n/a	n/a	D108	n/a	31
266.3080035082	n/a	n/a	relax	n/a	n/a	D112	n/a	32
267.2480004213	n/a	n/a	relax	n/a	n/a	DI91	n/a	33
268.4080021760	n/a	n/a	relax	n/a	n/a	DI99	n/a	34
269.3599986217	n/a	n/a	relax	n/a	n/a	D103	n/a	35
270.4159977219	n/a	n/a	relax	n/a	n/a	D102	n/a	36
271.4680036834	n/a	n/a	relax	n/a	n/a	D107	n/a	37
272.5319991193	n/a	n/a	relax	n/a	n/a	DI95	n/a	38
273.6960040710	n/a	n/a	relax	n/a	n/a	D104	n/a	39
274.7520031712	n/a	n/a	relax	n/a	n/a	D104	n/a	40
275.6840037487	n/a	n/a	relax	n/a	n/a	D100	n/a	41
276.7400028489	n/a	n/a	relax	n/a	n/a	D103	n/a	42
277.9080009392	n/a	n/a	relax	n/a	n/a	DI99	n/a	43
278.8520010493	n/a	n/a	relax	n/a	n/a	D101	n/a	44
280.0159959427	n/a	n/a	relax	n/a	n/a	D100	n/a	45
280.9560029141	n/a	n/a	relax	n/a	n/a	D106	n/a	46
282.1160046688	n/a	n/a	relax	n/a	n/a	D105	n/a	47
283.1720037690	n/a	n/a	relax	n/a	n/a	D100	n/a	48
284.1160038791	n/a	n/a	relax	n/a	n/a	D101	n/a	49
285.2639960430	n/a	n/a	relax	n/a	n/a	DI97	n/a	50
286.2079961530	n/a	n/a	relax	n/a	n/a	D103	n/a	51
287.3679979078	n/a	n/a	relax	n/a	n/a	DI93	n/a	52
288.3040016822	n/a	n/a	relax	n/a	n/a	D101	n/a	53
289.4640034369	n/a	n/a	relax	n/a	n/a	D104	n/a	54
290.4040003500	n/a	n/a	relax	n/a	n/a	D103	n/a	55
291.4599994502	n/a	n/a	relax	n/a	n/a	DI97	n/a	56
292.5039990178	n/a	n/a	relax	n/a	n/a	D107	n/a	57
293.5680045120	n/a	n/a	relax	n/a	n/a	D111	n/a	58
294.7159966758	n/a	n/a	relax	n/a	n/a	D121	n/a	59
295.8800016276	n/a	n/a	relax	n/a	n/a	DI98	n/a	60
296.8240017376	n/a	n/a	relax	n/a	n/a	D113	n/a	61
297.9800002954	n/a	n/a	relax	n/a	n/a	D105	n/a	62
298.9199972085	n/a	n/a	relax	n/a	n/a	D110	n/a	63
299.9840027026	n/a	n/a	relax	n/a	n/a	D112	n/a	64
300.9280028126	n/a	n/a	relax	n/a	n/a	DI94	n/a	65
302.1919971637	n/a	n/a	relax	n/a	n/a	D111	n/a	66
303.1239977411	n/a	n/a	relax	n/a	n/a	D102	n/a	67
304.2880026928	n/a	n/a	relax	n/a	n/a	D105	n/a	68
305.2359959415	n/a	n/a	relax	n/a	n/a	DI97	n/a	69
306.3959976963	n/a	n/a	relax	n/a	n/a	DI95	n/a	70
307.3440010033	n/a	n/a	relax	n/a	n/a	DI98	n/a	71
308.5160022906	n/a	n/a	relax	n/a	n/a	D108	n/a	72
309.4559992037	n/a	n/a	relax	n/a	n/a	DI98	n/a	73
310.5160015008	n/a	n/a	relax	n/a	n/a	D109	n/a	74
311.4640048078	n/a	n/a	relax	n/a	n/a	DI96	n/a	75
312.6200033656	n/a	n/a	relax	n/a	n/a	DI97	n/a	76
313.7760019234	n/a	n/a	relax	n/a	n/a	D103	n/a	77
314.7200020335	n/a	n/a	relax	n/a	n/a	D101	n/a	78
315.8719973943	n/a	n/a	relax	n/a	n/a	D108	n/a	79
316.8120043657	n/a	n/a	relax	n/a	n/a	D106	n/a	80
317.9759992591	n/a	n/a	relax	n/a	n/a	D100	n/a	81
318.9159961722	n/a	n/a	relax	n/a	n/a	D102	n/a	82
320.0599951974	n/a	n/a	relax	n/a	n/a	DI96	n/a	83
321.0039953074	n/a	n/a	relax	n/a	n/a	D110	n/a	84
