onset	duration	sample	trial_type	response_time	stim_file	value	HED	second_after_ready
19.5440030030	n/a	n/a	wait	n/a	n/a	DI36	n/a	-39
19.9200017682	n/a	n/a	wait	n/a	n/a	DI35	n/a	-38
20.8800046078	n/a	n/a	wait	n/a	n/a	DI48	n/a	-37
22.0439995012	n/a	n/a	wait	n/a	n/a	DI37	n/a	-36
22.9800032756	n/a	n/a	wait	n/a	n/a	DI31	n/a	-35
24.1360018334	n/a	n/a	wait	n/a	n/a	DI35	n/a	-34
25.0680024109	n/a	n/a	wait	n/a	n/a	DI37	n/a	-33
26.2280041656	n/a	n/a	wait	n/a	n/a	DI32	n/a	-32
27.3840027235	n/a	n/a	wait	n/a	n/a	DI32	n/a	-31
28.4400018237	n/a	n/a	wait	n/a	n/a	DI33	n/a	-30
29.3759955398	n/a	n/a	wait	n/a	n/a	DI27	n/a	-29
30.5320041559	n/a	n/a	wait	n/a	n/a	DI32	n/a	-28
31.4679978720	n/a	n/a	wait	n/a	n/a	DI32	n/a	-27
32.6239964298	n/a	n/a	wait	n/a	n/a	DI32	n/a	-26
33.6719991944	n/a	n/a	wait	n/a	n/a	DI27	n/a	-25
34.6159993044	n/a	n/a	wait	n/a	n/a	DI32	n/a	-24
35.6599988720	n/a	n/a	wait	n/a	n/a	DI45	n/a	-23
36.8159974298	n/a	n/a	wait	n/a	n/a	DI35	n/a	-22
37.8599969975	n/a	n/a	wait	n/a	n/a	DI39	n/a	-21
38.8039971075	n/a	n/a	wait	n/a	n/a	DI30	n/a	-20
39.8599962077	n/a	n/a	wait	n/a	n/a	DI43	n/a	-19
41.0319974951	n/a	n/a	wait	n/a	n/a	DI38	n/a	-18
41.9680012695	n/a	n/a	wait	n/a	n/a	DI28	n/a	-17
43.1800043515	n/a	n/a	wait	n/a	n/a	DI17	n/a	-16
44.1159980676	n/a	n/a	wait	n/a	n/a	DI34	n/a	-15
45.1839967004	n/a	n/a	wait	n/a	n/a	DI44	n/a	-14
46.2319994650	n/a	n/a	wait	n/a	n/a	DI27	n/a	-13
47.3999975554	n/a	n/a	wait	n/a	n/a	DI38	n/a	-12
48.4599998525	n/a	n/a	wait	n/a	n/a	DI30	n/a	-11
49.4119962982	n/a	n/a	wait	n/a	n/a	DI18	n/a	-10
50.5719980530	n/a	n/a	wait	n/a	n/a	DI23	n/a	-9
51.5120050243	n/a	n/a	wait	n/a	n/a	DI39	n/a	-8
52.6719967208	n/a	n/a	wait	n/a	n/a	DI24	n/a	-7
53.6240032247	n/a	n/a	wait	n/a	n/a	DI40	n/a	-6
54.7920013151	n/a	n/a	wait	n/a	n/a	DI30	n/a	-5
55.7240018926	n/a	n/a	wait	n/a	n/a	DI28	n/a	-4
56.8800004504	n/a	n/a	wait	n/a	n/a	DI29	n/a	-3
57.8120010278	n/a	n/a	wait	n/a	n/a	DI24	n/a	-2
58.9759959213	n/a	n/a	wait	n/a	n/a	DI41	n/a	-1
59.9239992282	n/a	n/a	wait	n/a	n/a	DI28	n/a	0
61.0840009830	n/a	n/a	wait	n/a	n/a	DI34	n/a	1
62.0280010930	n/a	n/a	wait	n/a	n/a	DI26	n/a	2
63.1799964539	n/a	n/a	wait	n/a	n/a	DI27	n/a	3
64.1160002283	n/a	n/a	wait	n/a	n/a	DI40	n/a	4
65.1719993285	n/a	n/a	wait	n/a	n/a	DI29	n/a	5
66.2279984287	n/a	n/a	wait	n/a	n/a	DI32	n/a	6
67.3079965941	n/a	n/a	wait	n/a	n/a	DI22	n/a	7
68.4679983488	n/a	n/a	wait	n/a	n/a	DI32	n/a	8
69.4119984589	n/a	n/a	wait	n/a	n/a	DI28	n/a	9
70.4720007560	n/a	n/a	wait	n/a	n/a	DI34	n/a	10
71.6359956495	n/a	n/a	wait	n/a	n/a	DI32	n/a	11
72.6839984140	n/a	n/a	wait	n/a	n/a	DI28	n/a	12
73.6159989915	n/a	n/a	wait	n/a	n/a	DI35	n/a	13
74.7640012137	n/a	n/a	wait	n/a	n/a	DI25	n/a	14
75.7080013237	n/a	n/a	wait	n/a	n/a	DI30	n/a	15
76.8599966846	n/a	n/a	wait	n/a	n/a	DI20	n/a	16
77.8039967946	n/a	n/a	wait	n/a	n/a	DI29	n/a	17
78.9680017463	n/a	n/a	wait	n/a	n/a	DI32	n/a	18
79.9039954624	n/a	n/a	wait	n/a	n/a	DI33	n/a	19
80.9119964323	n/a	n/a	relax	n/a	n/a	D105	n/a	20
82.0719981871	n/a	n/a	relax	n/a	n/a	DI99	n/a	21
83.1120046160	n/a	n/a	relax	n/a	n/a	DI99	n/a	22
84.1640005193	n/a	n/a	relax	n/a	n/a	DI93	n/a	23
84.7639972649	n/a	n/a	relax	n/a	n/a	D255	n/a	24
85.1639950953	n/a	n/a	relax	n/a	n/a	DI99	n/a	25
86.2960046462	n/a	n/a	getready	n/a	n/a	D170	n/a	1
87.4559963427	n/a	n/a	getready	n/a	n/a	D157	n/a	2
88.3920001171	n/a	n/a	getready	n/a	n/a	D166	n/a	3
89.4719982824	n/a	n/a	getready	n/a	n/a	D153	n/a	4
90.4159983925	n/a	n/a	getready	n/a	n/a	D155	n/a	5
91.4640011570	n/a	n/a	getready	n/a	n/a	D162	n/a	6
92.6960001073	n/a	n/a	concentrate	n/a	n/a	D229	n/a	7
93.6359970204	n/a	n/a	concentrate	n/a	n/a	D219	n/a	8
94.6919961206	n/a	n/a	concentrate	n/a	n/a	D228	n/a	9
95.8440015397	n/a	n/a	concentrate	n/a	n/a	D221	n/a	10
96.8880011073	n/a	n/a	concentrate	n/a	n/a	D225	n/a	11
97.9200011424	n/a	n/a	concentrate	n/a	n/a	D229	n/a	12
98.8599980555	n/a	n/a	concentrate	n/a	n/a	D228	n/a	13
100.0319993428	n/a	n/a	concentrate	n/a	n/a	D219	n/a	14
100.9680031172	n/a	n/a	concentrate	n/a	n/a	D222	n/a	15
102.1319980106	n/a	n/a	concentrate	n/a	n/a	D221	n/a	16
103.0680017850	n/a	n/a	concentrate	n/a	n/a	D219	n/a	17
104.1120013527	n/a	n/a	concentrate	n/a	n/a	D222	n/a	18
105.1639972559	n/a	n/a	concentrate	n/a	n/a	D218	n/a	19
106.2120000205	n/a	n/a	concentrate	n/a	n/a	D218	n/a	20
107.2639959238	n/a	n/a	concentrate	n/a	n/a	D215	n/a	21
108.4960049323	n/a	n/a	relax	n/a	n/a	D101	n/a	22
109.4279954515	n/a	n/a	relax	n/a	n/a	DI93	n/a	23
