onset	duration	sample	trial_type	response_time	stim_file	value	HED	second_after_ready
44.3840010396	n/a	n/a	wait	n/a	n/a	DI48	n/a	-39
45.1359985701	n/a	n/a	wait	n/a	n/a	DI29	n/a	-38
46.2080003998	n/a	n/a	wait	n/a	n/a	DI39	n/a	-37
47.2560031644	n/a	n/a	wait	n/a	n/a	DI54	n/a	-36
48.2959995351	n/a	n/a	wait	n/a	n/a	DI34	n/a	-35
49.4480049542	n/a	n/a	wait	n/a	n/a	DI45	n/a	-34
50.4959976605	n/a	n/a	wait	n/a	n/a	DI41	n/a	-33
51.4320014349	n/a	n/a	wait	n/a	n/a	DI36	n/a	-32
52.5839967958	n/a	n/a	wait	n/a	n/a	DI42	n/a	-31
53.5279969058	n/a	n/a	wait	n/a	n/a	DI39	n/a	-30
54.6759991280	n/a	n/a	wait	n/a	n/a	DI40	n/a	-29
55.8319976858	n/a	n/a	wait	n/a	n/a	DI36	n/a	-28
56.7680014602	n/a	n/a	wait	n/a	n/a	DI29	n/a	-27
57.9199968210	n/a	n/a	wait	n/a	n/a	DI47	n/a	-26
58.8879959962	n/a	n/a	wait	n/a	n/a	DI41	n/a	-25
60.0479977510	n/a	n/a	wait	n/a	n/a	DI44	n/a	-24
60.9799983284	n/a	n/a	wait	n/a	n/a	DI41	n/a	-23
62.1359968863	n/a	n/a	wait	n/a	n/a	DI35	n/a	-22
63.0880033902	n/a	n/a	wait	n/a	n/a	DI33	n/a	-21
64.2399987510	n/a	n/a	wait	n/a	n/a	DI42	n/a	-20
65.1799956641	n/a	n/a	wait	n/a	n/a	DI43	n/a	-19
66.2759965590	n/a	n/a	wait	n/a	n/a	DI52	n/a	-18
67.4400015107	n/a	n/a	wait	n/a	n/a	DI41	n/a	-17
68.3720020882	n/a	n/a	wait	n/a	n/a	DI42	n/a	-16
69.5320038429	n/a	n/a	wait	n/a	n/a	DI44	n/a	-15
70.4600012234	n/a	n/a	wait	n/a	n/a	DI37	n/a	-14
71.5119971267	n/a	n/a	wait	n/a	n/a	DI37	n/a	-13
72.6640025458	n/a	n/a	wait	n/a	n/a	DI27	n/a	-12
73.5999962620	n/a	n/a	wait	n/a	n/a	DI42	n/a	-11
74.7560048780	n/a	n/a	wait	n/a	n/a	DI38	n/a	-10
75.6919985942	n/a	n/a	wait	n/a	n/a	DI44	n/a	-9
76.8479971520	n/a	n/a	wait	n/a	n/a	DI42	n/a	-8
77.7960004590	n/a	n/a	wait	n/a	n/a	DI49	n/a	-7
78.9440026811	n/a	n/a	wait	n/a	n/a	DI50	n/a	-6
79.8839995942	n/a	n/a	wait	n/a	n/a	DI44	n/a	-5
81.1519971422	n/a	n/a	wait	n/a	n/a	DI51	n/a	-4
82.1000004492	n/a	n/a	wait	n/a	n/a	DI37	n/a	-3
83.0399973623	n/a	n/a	wait	n/a	n/a	DI51	n/a	-2
84.1920027814	n/a	n/a	wait	n/a	n/a	DI59	n/a	-1
85.2439986846	n/a	n/a	wait	n/a	n/a	DI44	n/a	0
86.1959951303	n/a	n/a	wait	n/a	n/a	DI44	n/a	1
87.2720001570	n/a	n/a	wait	n/a	n/a	DI40	n/a	2
88.4320019118	n/a	n/a	wait	n/a	n/a	DI42	n/a	3
89.3760020218	n/a	n/a	wait	n/a	n/a	DI41	n/a	4
90.5440001122	n/a	n/a	wait	n/a	n/a	DI39	n/a	5
91.4760006896	n/a	n/a	wait	n/a	n/a	DI52	n/a	6
