onset	duration	sample	trial_type	response_time	stim_file	value	HED	second_after_ready
27.5679989091	n/a	n/a	wait	n/a	n/a	DI30	n/a	-39
28.3359991691	n/a	n/a	wait	n/a	n/a	DI28	n/a	-38
29.4080009989	n/a	n/a	wait	n/a	n/a	DI30	n/a	-37
30.4759996316	n/a	n/a	wait	n/a	n/a	DI24	n/a	-36
31.6400045834	n/a	n/a	wait	n/a	n/a	DI35	n/a	-35
32.6879972897	n/a	n/a	wait	n/a	n/a	DI26	n/a	-34
33.6520033262	n/a	n/a	wait	n/a	n/a	DI30	n/a	-33
34.7239950976	n/a	n/a	wait	n/a	n/a	DI21	n/a	-32
35.8800037137	n/a	n/a	wait	n/a	n/a	DI22	n/a	-31
36.8120042912	n/a	n/a	wait	n/a	n/a	DI30	n/a	-30
37.9719959877	n/a	n/a	wait	n/a	n/a	DI33	n/a	-29
38.9240024916	n/a	n/a	wait	n/a	n/a	DI18	n/a	-28
40.0960037789	n/a	n/a	wait	n/a	n/a	DI30	n/a	-27
41.0439970276	n/a	n/a	wait	n/a	n/a	DI25	n/a	-26
42.1960024468	n/a	n/a	wait	n/a	n/a	DI32	n/a	-25
43.1400025568	n/a	n/a	wait	n/a	n/a	DI33	n/a	-24
44.3039974502	n/a	n/a	wait	n/a	n/a	DI23	n/a	-23
45.3639997474	n/a	n/a	wait	n/a	n/a	DI16	n/a	-22
46.3199993900	n/a	n/a	wait	n/a	n/a	DI36	n/a	-21
47.4040007523	n/a	n/a	wait	n/a	n/a	DI30	n/a	-20
48.3679967306	n/a	n/a	wait	n/a	n/a	DI34	n/a	-19
49.4239958308	n/a	n/a	wait	n/a	n/a	DI30	n/a	-18
50.5920039794	n/a	n/a	wait	n/a	n/a	DI30	n/a	-17
51.5360040895	n/a	n/a	wait	n/a	n/a	DI28	n/a	-16
52.6999989829	n/a	n/a	wait	n/a	n/a	DI33	n/a	-15
53.6480022899	n/a	n/a	wait	n/a	n/a	DI31	n/a	-14
54.7960045121	n/a	n/a	wait	n/a	n/a	DI25	n/a	-13
55.7360014251	n/a	n/a	wait	n/a	n/a	DI34	n/a	-12
56.8879967860	n/a	n/a	wait	n/a	n/a	DI28	n/a	-11
57.8360000930	n/a	n/a	wait	n/a	n/a	DI29	n/a	-10
58.9960018477	n/a	n/a	wait	n/a	n/a	DI38	n/a	-9
59.9359987608	n/a	n/a	wait	n/a	n/a	DI33	n/a	-8
61.0919973186	n/a	n/a	wait	n/a	n/a	DI37	n/a	-7
62.0359974287	n/a	n/a	wait	n/a	n/a	DI28	n/a	-6
63.1919959865	n/a	n/a	wait	n/a	n/a	DI25	n/a	-5
64.3480046026	n/a	n/a	wait	n/a	n/a	DI27	n/a	-4
65.2920047126	n/a	n/a	wait	n/a	n/a	DI32	n/a	-3
